PHP-Parser
php-version-benchmarks
enum-comparison
php-timeline
uPlot
opengl-demo
zig
phpstorm-stubs
alive2
pcov
llvm-project
fastvalidate-utf-8
var-packagist-search
llvm
llvm
wg-codegen
range-analysis
apcu
bsdnt
pht
LuaJIT
min-max-heap-rs
worm-scraper
libsodium-php
php-src
phack
fizz-buzz-tensorflow
highwayhash
ext-ds
php-type-checker
phan
gesetze
http-server
php-ast-reverter
Tuli
php-cfg
proposal-regex-escaping
PhpGenerics
hhvm
rust
recki-ct
ustring
php-langspec
galapagos
php-analyzer
ZendOptimizerPlus
z
auryn
PHP-Internals-Book
php-net-tutorial
pear
JMSTranslationBundle
dbad
hello-world
php-src
Phuzzy
DoctrineCodeGenerator
SPL-Datastructures
Ardent
InterfaceDistiller
nikic.github.com
PHP-Backporter
clever
php-src
phpmeta
PHP-CryptLib
Twig
tokenstream
phpDocumentor
DB
phpunit-mock-objects
prephp
Twig
kmyacc-forked
Pimple
php-code-coverage
