omnigres
awesome-postgres
zngur
feldera
FastLanes
amaranth
coq
ollama
lance
openobserve
dufs
redb
fq
open-llms
semantic-kernel
qdrant
promptr
AgentGPT
rfcs
usearch
egglog
AutoGPT
awesome-dbdev
patchloop
CASL
fis-gtm
fis-gtm
veriwasm
agatedb
cozo
ed25519-consensus
hydroflow
exalog
substrait
velox
mpl
mastodon-archive
ferrilab
marwood
causal-length
cr-sqlite
git-remote-s3
wickdb
fuse-t
cppfront
hylo
revm
iai
arbtest
hg64
firefox-translations-models
bergamot-translator
firefox-translations-training
scheme
haystack
bun
lending-cell
coop
ariadne
chumsky
tao
yakv
rust_lisp
TML
pikaparser
eyros
xdrgen
stellar-base-rs
roc
sui
tenex-bcpl
mesa-emulator
interactive_latencies
cita-vm
orioledb
cpu
rust-anthology
prql
xf8
starcoin
move
awesome-structure-editors
empirical-lang
arrow2
solang
dura
minivm
terminal
Mesh
coalton
perf-book
vscode-markdown-notes
par-stream
MyBluRadio
qoi
qoi
stb
orion
rosette-testgen
evm
comparable
austral
cores
cores
speedex
microCOVID
binocle
dex-lang
prusti-dev
autocfg
IVFADC.jl
faiss
clu-1976-1989
cubiml-demo
datasketches-cpp
t-digest
hprof
icu4x
arret
codespan
vanilla-lang
notcurses
pyroscope
harlan
futhark
ByteSlice
reason
supersonic
accesskit
isomorphicdb
Iosevka
rust-langdev
cbpv
redwood
innernet
kitbag
drop-in-fba
passerine
BQN
red-light-green-light
varopt
dada
frank
pl-catalog
ASAP
timescaledb-toolkit
pgrx
about
GROQ
modular-spatial-index
netbird
duckdb_fdw
duckdb
treesheets
butter
QMX
BitMagic
dida
refinedt
shuttle
swift-driver
highway
Power-Fx
leanstore
llama
concise-encoding
learn-rust-on-aws
f-omega-int-agda
Turbo-Base64
ciff
TurboPFor-Integer-Compression
metaii
PMTiles
mcts
CRoaring
qbe
sapling
staged
sociotechnical-architecture
libs-team
linux
logica
xtdb
community
peridot
memo
libsignal-protocol-wasm-fstar
libsignal-protocol-javascript
mech
insta
screwsat
unseemly
awesome-distributed-transactions
distributed-consensus-reading-list
best-of-popl
legacy-cc
Racer
ann-benchmarks
google-research
tifs
maelstrom
mypyvy
