llm-course
adapters
CogVLM
awesome-openai-vision-api-experiments
opencv-python
LaVIT
CapsFusion
opencv
axlearn
chat-llamaindex
Transformers-Tutorials
sahi
voyager
distil-whisper
pgvector
anthropic-cookbook
rag-resources
vllm
self-rag
pillow_heif
pyheif
zero123plus
Adala
SoM
LLaVA
efficientvit
MetaCLIP
pytorch-deep-learning
CLIP-CoreML
mistral-src
kani
jupyter-book
nbsphinx
transformer-from-scratch
BookstoreStategist
what_are_embeddings
Ego4d
Swift-Charts-Examples
LLaMA2-Accessory
Qwen-VL
supervision
darts
jetson-intro-to-distillation
clip-distillation
ml-fastvit
curated-transformers
sam-hq
FlagEmbedding
cc2dataset
mPLUG-Owl
VisionLLM
all-seeing
Magic123
chef-transformer
PyDrive2
ml-dr
ml-hypersim
ARKitScenes
supabase-swift
RepViT
skimlit
Cream
Emu
pytorch-original-transformer
embetter
Semantic-SAM
h2ogpt
nobuco
hiera
xgen
recognize-anything
MobileSAM
autodistill
python-allrecipes
annotated_deep_learning_paper_implementations
marqo
RapidFuzz
xformers
attentions
yt-fts
scrapy
label-studio-transformers
Nutrition5k
SegmentAnythingin3D
x-transformers
scikit-llm
unlimiformer
guidance
llama_index
prompt-engineering
Personalize-SAM
ImageBind
tenacity
coremltools
shap-e
Track-Anything
Segment-Everything-Everywhere-All-At-Once
datacomp
Wikipedia-API
sketch
jax
dinov2
Grounded-Segment-Anything
GroundingDINO
react
Wikipedia
exporters
prodigy-openai-recipes
segment-anything
open_flamingo
dolly
GLIGEN
ChatCaptioner
alpaca-lora
semantic-kernel
OpenICL
prismer
TaskMatrix
CaFo
VPD
uform
lgssl
edgeyolo
web-ai
ControlNet
kernl
picoGPT
finetuner
streaming
shortuuid
Machine-Learning-101
mm-cot
chat-your-data
ToMe
meilisearch
EfficientFormer
unstructured
img2dataset
openai-cookbook
Promptify
hlb-CIFAR10
CutLER
txtai
sentence-transformers
chat-langchain
imaginAIry
whisperX
whisper
tuning_playbook
polars
skorch
nanoGPT
CiT
ultralytics
imagededup
autofaiss
car-data
label-studio-sdk
Painter
instructor-embedding
LaViLa
colorado-weather-data
modzy-labelstudio-sample
jina
orama
langchain
ColBERT
EdgeNeXt
LeViT
zenbytes
zenml
kangas
modal-client
cvat
onnxruntime
EVA
OneFormer
deeplake
latexify_py
thefuzz
yt-dlp
fastdup
LAVIS
milvus
faiss
towhee
clipseg
