brixen
HamptonMakes
stevedekorte
nex3
djspiewak
alex
waferbaby
jamis
vito
dglazkov
evmar
sethladd
mprobst
WardCunningham
fogus
graydon
dethe
bakkdoor
andersjohnsen
simonask
steveklabnik
wbond
stevefolta
yole
alexeagle
sjl
bruxisma
pq
kanaka
creationix
slightlyoff
bradcupit
pichenettes
renggli
mraleph
joelgwebber
8l
ghenry
DavidBruant
matanlurey
marssaxman
dpiponi
jackpal
orangeduck
parrt
Qard
imjasonh
ehud
Sh4rK
ruby0x1
indutny
DmitrySoshnikov
samth
douglascrockford
ochafik
mflatt
stereotype441
chrisdunelm
NickMcConnell
scheglov
evanw
robotlolita
lkesteloot
SolraBizna
seaneagan
marcusm
1cg
Ladicek
MikePall
WalterBright
TyOverby
rsmckinney
kegluneq
pwoolcoc
rafaelw
prakhar1989
evincarofautumn
belkadan
damondouglas
cburrows
jvns
ncase
forax
filiph
preshing
jamiebuilds
iwillspeak
Scorpiion
gregtour
jmesserly
danfuzz
eliben
RossTate
butlermatt
mlochbaum
notwaldorf
cliffclick
joeconwaystk
krypt-n
colms
matklad
floitsch
wingo
xNotch
jtmcdole
dr2chase
kmillikin
samhopkins
sigmundch
rakudrama
blois
kasperl
maierfelix
johnalexhebert
ahejlsberg
lmeyerov
ftripier
aardappel
tunabrain
avikchaudhuri
peter-ahe-google
IJDykeman
bakpakin
colrdavidson
erincatto
ulfjack
fasterthanlime
ghemawat
michaelmalonenz
mhausner
leafpetersen
ErikCorryGoogle
griesemer
ericlippert
rswier
eernstg
thosakwe
softdorothy
titzer
mit-mit
kallentu
dybvig
mhermier
dasdware
