PersonRelationKnowledgeGraph
TextGrapher
DomainWordsDict
Awesome-Domain-LLM
QASystemOnMedicalKG
EventTriplesExtraction
liuhuanyong.github.io
MedicalNamedEntityRecognition
SinglepassTextCluster
ChineseNLPCorpus
LawCrimeMining
ChineseSemanticKB
ComplexEventExtraction
SentenceSimilarity
ChainKnowledgeGraph
CrimeKgAssitant
CCKS2018Summary
IdealWordCloudKit
PersonGraphDataSet
Word2Vector
TopicCluster
MusicLyricChatbot
WordMultiSenseDisambiguation
CognitiveInference
DescriptionKBExtraction
EventKGNELL
AbstractKnowledgeGraph
KnowledgeGraphSlides
SiameseSentenceSimilarity
ChineseEmbedding
HyponymyExtraction
PoemMining
SequentialEventExtration
ImportantEventExtractor
EventMonitor
Pinyin2Chinese
HuanNLP
CausalityEventExtraction
SentenceSentimentClassifier
MedicalGPT
ChineseCixing
zero_nlp
awesome-chinese-legal-resources
ChatPaper
LES-MMRC-Summary
unlocking-the-power-of-llms
DecryptPrompt
BaiduIndexSpyder
Sentence2Vector
SentimentWordExpansion
LongChat
LongBench
DeepKE
LLM-Zoo
Awesome-LLM-Eval
WordSegment
ChineseTextualInference
ZhuguanDetection
KeyInfoExtraction
ChineseAntiword
QueryCorrection
ChineseHumorSentiment
Security-PPT
BaikeKnowledgeSchema
DocSentimentAnalysis
ZhidaoChatbot
CausalCollocation
ChineseNlpCorpus-1
PaddleOCR
RapidOCR
EventPredictBasedOnEG
LanguageKnowledgeGraph
WeiboIndexSpyder
CommonSchemaKG
CCL2018Summary
PaddleNLP
AlignLLMHumanSurvey
transformers_tasks
LLMZoo
Seq2seqAttGeneration
ChatGLM-Efficient-Tuning
FianaceEventGraph
AliIndexSpyder
visual-med-alpaca
BaikeInfoExtraction
ChatIE
textract
moss_finetuning
evaluation
FastChat
peft
TextFeatureExtraction
Alpaca-CoT
epub2txt
awesome-pretrained-chinese-nlp-models
Seq2SeqTranslation
the-pile
PersonalModernPoems
SougouWordsCollector
Python-docx-Reading-paragraphs-tables-and-images-in-document-order-
WordCollocation
prompt-based-learning
LanguagePlatform
DuReader
CausalDataset
Seq2seqGeneration
pimht
py_change_code
