compiled
llamafile
jsonpath-ng
python-calamine
river
StyleTTS2
random-pigeon-gpt
make-real
narrator
insanely-fast-whisper
best-practices
LLMTest_NeedleInAHaystack
ire-resources
azure-search-openai-demo
mirror
consistencydecoder
lone
wtforms
v8r
check-jsonschema
clip-image-search
Memory-Cache
doctr
blueboat
lagon
MetaCLIP
windmill
lonboard
go-pmtiles
finetuner
chdb
voyager
datasette-plot
LavaMoat
watchfiles
notebooks
llm-bash
llm-together
open-buildings
llm-bedrock-anthropic
tddGPT
llm-rs-python
pybreaker
agent-protocol
cleanlab
jco
extism
whisper-turbo
OnnxStream
hubcap
break-a-scene
curated-transformers
localpilot
whisperX
chatcloudflare
django-db-log
wisdom
faucet_finder
xv
s2orc-doc2json
nicar23-better-mapping
OpenMoE
lm-hackers
ChatGPT_NCCN
screenreaders
tg
us-license-plates
yarn
exploring-australian-curriculum
automatic_log_collector_and_analyzer
datasette-comments
wasm-go-playground
OvertureMapsDownloader
sqlite-image
flet
tidytuesday
CTranslate2
sushy
llm-cohere
exllamav2
flake8-logging
llm_chargpt
promptfoo
ColBERT
sqlite-ner
hubcap
puck
TinyLlama
faiss_tips
semantic
llama2.c
llm-opstower
codellama
fast_vector_similarity
transcribe
llm-tracker
bridge
OpenCopilot
autosize
partykit
sketch-polls
macdriver
terra-draw
swiss_army_llama
sqlite-createtable-parser
outlines
dapr
action-tmate
deno_python
google-sheets-to-sqlite
ChatGPT-Answers-to-SO-questions
masscan_as_a_service
sqledge
putting-the-you-in-cpu
graalpython
llm-immunology-testing
llm-code-interpreter
combine-prs-workflow
exllama
atari-py
FLASK
llm-attacks
pexpect
dinesafe-toronto
LLM-Reading-List
litecli
textual-paint
chat-ui
Llama2-Code-Interpreter
sqlite-utils-ml
llama2.c
llm-claude
llama-recipes
dulwich
python-mastery
httpx-ws
replicate-python
py-tree-sitter
tree-sitter-sqlite
yamlfmt
anthropic-sdk-python
awesome-chatgpt-code-interpreter-experiments
LaMini-LM
leapfrogai-sdk
nginx-playground
webcolors
WizardLM
bulletproof-python
setuptools
long_llama
asteval
wasm_exec
runhouse
pytest-regressions
ctransformers
mpt-30B-inference
typeid
sqlite-docs
tomlkit
tomli-w
fictional-time-with-GPT4
pytest-mock-resources
neuroengine
ast-comments
smolex
pyastgrep
OpenLLM
icdiff
sqlean.py
llm-toolbox
llm
webassembly
python
match-variant
platformdirs
llama-tokenizer-js
marked
instructor-embedding
lance
pystack
django-zen-queries
gpt-2
chatbot-code-interpreter
AlpacaChat
cowblock
arclight
DruidJS
pytest-icdiff
mercury
git-history
prm800k
tree-of-thought-llm
tiny_starcoder
Voyager
sqlite-ml
bubblewrap
van
birdseye
jsonschema
DragGAN
python-markdownify
CSA
example-canvas-fill
a11ysupport.io
component-sandbox-demo
fairseq
ypy
starcoder.cpp
privateGPT
trogon
yt-fts
Swap
hnsqlite
DragGAN
llm-numbers
component-model
rebuff
guidance
CodeT5
map-of-github
extrainterpreters
llama-cpp-python
bark-with-voice-clone
test-vectors
server
LocalAI
prompt-engineering
parserllm
tinytuya
eurovisionhue
GPT-3-Encoder
bingchain
popover-polyfill
LAVIS
segment-geospatial
plot
neodrag
win11-svelte
ipyflow
componentize-py
subtls
ImageBind
jsonformer
llm-vscode
liquery
unlimiformer
llm-experiments
open_llama
pandas-ai
helm
sql-logic-test
kamal
mlc-llm
FastChat
showcase_todo
trainbot
clownfish
semantra
chat-twitter
table-transformer
deepdoctection
NeMo-Guardrails
micropython
micropython-wasm
quillman
lmql
jupylite_duckdb
datasette-ml
rye
tokenring
bark
everything
StableLM
spyder
responsively-app
atrilabs-engine
MiniGPT-4
botsapp
hnswlib
mastodon-to-sqlite
similar
sqlite-ecosystem
old
quadratic
wrgl
trurl
hocus
pg_cron
hakrevdns
web-ai
ai-photo-sorter
AutoGPT
textual-mandelbrot
VictoriaMetrics
neural-engine
reflexion
datasette-render-xlsx
ml-ane-transformers
chatgpt-retrieval-plugin
cdp-scrapers
textSQL
AICommand
semantic-kernel
jq-web
viper
microllama
transformers.js
alpaca.cpp
bloomz.cpp
jupyverse
lora-inference
cog-llama
wcmatch
text-generation-webui
stanford_alpaca
OpenChatKit
apple-news-to-sqlite
llama.cpp
macnotesapp
mops
ninja-keys
shiki
ucall
textra
nicar_ocr
cataloging-records
noseyparker
llm-security
simple-data-analysis
icon-image
Prompt-Engineering-Guide
ColossalAI
malloy-tpcds
llama
webassembly-language-runtimes
ControlNet
oxen-release
nexporter
graphic-walker
FlexGen
kuzu
Visualization
Sloth
vue3-tiny-template
sqlite-geo
unstructured
erlog
fosdem2023whisper
peft
sqlite-sqlean
awesome-georust
DissociatedPress
picoGPT
Magic-Sand
pocketpy
MIECO
mycelite
sql-formatter
yq
node-chatgpt-api
glidesort
jaq
pyfakefs
datasette-parquet
extism-sqlite3
octodata
sqlite3-bfsvtab-ext
first-datasette-app-umd
splink
wm
Apple-M1-BERT
percona-community-live-2022
datasette-rewrite-sql
stackexchange-to-sqlite
datasette-ui-extras
lexbor
datasette-matomo
sqlite-fastrand
sqlite-ulid
sqlite-jsonschema
graphql-voyager
tippecanoe
PMTiles
bfg-repo-cleaner
squarelet-auth
pytest-pretty
wildebeest
imaginAIry
ersatz-table-valued-functions
datasette-ersatz-table-valued-functions
paprika-to-sqlite
granian
gpt-wpre
python-sandbox-wasm
sqlite-xsv
worthless
awesome-vector-tiles
vector-tile-spec
wasmedge-quickjs
pywasm3
wasm3
sqlite-vss
socketify.py
warplda
faiss-wheels
sqld
GLM-130B
yt-semantic-search
xlr8
datasette-scraper
recap
RestrictedPython
pinafore-mahoot
mod_wasm
cpython-wasm-test
plane
pgvector
petals
nanoGPT
arrow-datafusion-python
github-explorer
postodo
security-tools
datasette
nativefier
hey_3
sd
langchain
xeus-python-demo
point-e
cookiecutter-hypermodern-python
sqlite-python
infisical
faiss-rs
dream-textures
pinafore
forma
tiktoken
datasette-coast
awesome-chatgpt-prompts
procrastinate
codon
advent-of-code-2022
whisper.cpp
sqlite-base64
pgfaceting
pal
chatgpt-ai-bug-simulation
unofficial-chatgpt-api
yarl
wagtail-sqlite-benchmark
ml-stable-diffusion
blink
sxl
inline-sql
rt-flickr-sqlite-csv
micropython-lib
sqlfluff
roosterjs
thread-keeper
automerge-repo
automerge-py
instances
txtai
brettcannon
kiteco-public
changelog.social
plausible-hosting
usercount
flyapp-mastodon
thisthat
workerbox
devcontainer-features
latexify_py
fediverse-action
yamanote
datalist-polyfill
jschon
flatterer
mundipy
mastodon-simplified-federation
ca-bph-hearing-results
Xess
takahe
CacheTower
silverbullet
