adconnectdump
CoercedPotato
evilginx2
Kerbeus-BOF
BloodHound
porch-pirate
aad_prt_bof
TokenTacticsV2
unfuck
cuddlephish
GPOddity
leviathan
CursedChrome
KubeHound
socketsleuth
Malleable-CS-Profiles
GIUDA
DavRelayUp
Kubestroyer
GraphRunner
DeFi-Attack-Vectors
AD_Miner
server-side-prototype-pollution
ChatGPT_DAN
beanshooter
EvilSln
postleaksNg
lessmsi
msidump
perfect-loader
msi-search
lakera-gandalf-solutions
esp32-wifi-penetration-tool
OneRuleToRuleThemStill
rsocx
NetExec
Jackett
homer
uptime-kuma
humanify
graphql-wordlist
ParamSpider
ContainYourself
community-scripts
shortscan
sns
Chameleon
Nemesis
hakoriginfinder
sysreptor
DamnVulnerableLLMProject
killerbee
lpython
jose
go-secdump
MagicSigner
wsrepl
garak
Alcatraz
movfuscator
Azure_Workshop
Cerberus
ropfuscator
LDAPmonitor
SharpWebServer
AtlasReaper
dploot
sss_deobfuscate
PortBender
jsluice
AssemblyHunter
ClickonceHunter
CS_COFFLoader
Spartacus
macro_pack
HomePlugPWN
translate
redteam-research
ligolo-ng
discord
docker-autoheal
serge
snuffleupagus
CVE-2019-18935
HiddenDesktop
file-archiver-in-the-browser
ssh-key-backdoor
LaWGPT
LECmd
privateGPT
reconftw
gpt4free
Fairplay
impacket_static_binaries
yetAnotherObfuscator
evilgophish
Medusa
ityfuzz
dart-shellcode
urlhunter
sccmhunter
secrets-patterns-db
packages
viewgen
cookiemonster
gvision
ThreadlessInject
GitGot
patchelf
rengine
RustScan
MobileHackingBinaryExploitationCheatSheet
PentestGPT
AutoGPT
GC2-sheet
FindUncommonShares
SharpGPOAbuse
Windows_LPE_AFD_CVE-2023-21768
Revenant
RMS-Runtime-Mobile-Security
dir2json
clroxide
obfstr
VMwareCloak
VBoxCloak
ReBeacon_ForClang
impersonate-rs
chameleon
debugHunter
php_filter_chains_oracle_exploit
minos-static
apk.sh
JADXecute
Crassus
badsecrets
drivers-binaries
WhiteChocolateMacademiaNut
AtomLdr
nsproxy
PPLmedic
Mind-Maps
