revanced-manager
revanced-patches
revanced-website
revanced-cli
revanced-documentation
revanced-patcher
revanced-api
revanced-integrations
aapt2
Apktool
GmsCore
.github
ARSCLib
revanced-cdn-action
revanced-manager-compose
revanced-discussions
revanced-branding
revanced-discord-bot
revanced-manager-compose-old
revanced-helper
revanced-static-api
jadb
revanced-library
smali
gh-discord-transformer
revanced-releases-api
multidexlib2
revanced-polling-api
