phnt-single-header
SweetDreams
IAT-Tracer
pefile
talks
pycdc
rewolf-wow64ext
TinyProcessor
pocs
CCHookReloaded
pi-defender
CallStackSpoofer
polytracker
injection
Ekko
PR0CESS
Classy
CAPEv2
mwcfg
flare-floss
MoP
C-To-Shellcode-Examples
Hunt-Sleeping-Beacons
yara-rules
FOLIAGE
Writeups
PowerLoaderEx
CobaltStrikeParser
COFFI
Crinkler
NoPatchGuardCallback
SysWhispers2
PDB-Downloader
systeminformer
python-sdb
aes-js
Malware-analysis-and-Reverse-engineering
obfuscator
pinjectra
hidden
windowskernelprogrammingbook
rootkits
CallObfuscator
VXUG-Papers
reactos
pafish
pintools
ghidra_scripts
minhook
Detours
DotNetToJScript
VMAttack
Windows-driver-samples
Publications
TWindbg
ConfuserEx
cryptowall
pwnbin
malware-lu
bootloader
mysql
beurk
twittor
malware-ioc
funcap
PyQt_PySide_APP_Caller
uncompyle2
cuckoo-modified
pwndbg
peda
FSExploitMe
the-backdoor-factory
malware_monitor
NETDeob
capstone
udis86
write-ups-2014
write-ups-2015
metasploit-framework
mkernel
