PythonDataScienceHandbook
sklearn_tutorial
WhirlwindTourOfPython
lpproj
nfft
altair-examples
wpca
supersmoother
sklearn_scipy2013
jakevdp.github.io-source
corner.py
BayesianAstronomy
lombscargle
sklearn_pycon2013
PracticalLombScargle
pySchrodinger
array-api-tests
maxtext
ipywidgets-static
matplotlib
numpy
sklearn_pydata2015
mst_clustering
scipy
jax
sklearn_pycon2015
diffusers
pyTree
data-USstates
JSAnimation
PythonicPerambulations
website
probability
JupyterWorkflow
PyData2014
dynamax
bicycle-data
open-recipe-data
supsmu
nfftls
cython_template
numpyro
sklearn_pycon2014
pytest
jakevdp.github.io
SeattleBike
matplotlib_pydata2013
pandas
multiband_LS
oryx
administrative
julia
memview_benchmarks
cython
statsmodels
altair_saver
jakevdp-git-test
.github
flax
ipython
ml_dtypes
sphinx-book-theme
pyink
TestRepository
ESAC-stats-2014
pip-tools
mlday-tokyo
colabtools
pyCRFsuite
2014_fall_ASTR599
pypropack
schemapi
git-intro
jakevdp.github.com
marathon-data
nufftpy
2013_fall_ASTR599
dlaicourse
altair
objax
schema-validation
data-CDCbirths
evojax
blackjax
PMLC-2014
klsh
jupyter-sphinx
nyquist
MagicCube
ASTR599_homework
pyLLE
sphinx-autodoc-typehints
OsloWorkshop2014
BinaryTree
PythonGists
PythonLectures
Thesis
python-tutorial
PythonDataScienceReview
altair-transform
GitIntro
scikit-learn
mpl_tutorial
ProbabilisticLensing
pyDistances
hist-review
spheredb
uw-6.github.io
Stripe82RRLyrae
siglearn
git-test
ProntoData
conda-recipes
kdsphere
myproject
DSFP-demo
GeneratedNotebookExample
test-cairo
vgparser
talks
regper
FastTemplatePeriodogram_old
JupyterWorkflow-source
travis-python-template
python-vis-landscape
try-out-git
colab-snippets
test-notebook-links
vega_firefox_bug
MyST-NB
UW_Python_for_Geosciences
models
vega
spec_data
dlcvtf2
ipython-vega
SciAmBlogPost
vega_datasets
seaborn
altair_data_server
xeus-python
altair_viewer
vega-embed
plotly.py
vega-cli-feedstock
pelican-ipythonnb
eng-edu
peps
vegascope
Slycot
pelican-octopress-theme
altair_pandas
scipy-conference
astropy
megaman
RSE4DataScience18
OpenVisConf2014
vega-datasets
george
new-project
m2r
umap
ShareJS
shablona
vega_datasets-feedstock
pelican-plugins
altair-block
vega-lite
altair2
astropy-v2.0-paper
html-css-resume-template
Python-Markdown
traitlets
demo_repo
bokeh
nbviewer
sparse
pyamg-feedstock
FastTemplatePeriodogram
docathon
periodogram
letter
altair-feedstock
FreqBayes
popylar
Creative-Commons-Markdown
jupyter-demo
PyCall.jl
LSST-DSFP-Resources
pyjulia
vega-feedstock
megaman-feedstock
d3
paper-on-cluster-lensing
openrecipes
flann-feedstock
staged-recipes
anaconda-ec2
test
soma
BombScargle
sncosmo
networkx
sga
astropy-binder
test_2
scipy2013_talks
SNEPlots
gh-publisher
pyOrbits
pelican_plugin-latex
ECML_PKDD_2013
LRG_redshifts
scipy_proceedings
IJulia.jl
scipy2014
SciPy-2014
test_ghpages_subdirectory
pelican
NIPS2013_sklearn
obsdwarf
AstroAuthorQuery
jumpy
llvmpy
hyde
nbconvert
dashboardjs
shim
