AstronomicalData
ThinkPython2
ThinkStats2
ProbablyOverthinkingIt
ThinkDSP
fluent-python-notebooks
ModSimPy
ThinkBayes2
SurvivalAnalysisPython
ThinkBayes
ElementsOfDataScience
ThinkOS
DSIRP
BiteSizeBayes
ThinkComplexity2
CompStats
BayesMadeSimple
ThinkPython
ThinkBayes2Translations
ThinkJavaCode
LittleBookOfSemaphores
empiricaldist
ThinkDataStructures
ExploratoryDataAnalysis
BayesianDecisionAnalysis
PoliticalAlignmentCaseStudy
SignalsAndSystemsAndDynamics
thinkjavasolutions5
ThinkPythonItalian
ThinkCPP
ExercisesInC
Portfolio
PhysicalModelingInMatlab
DataExploration
ThinkComplexity
clink
ThinkJava
DSIRPSolutions
MicroPyScript
pandas
scipy_proceedings
cpython
Swampy
ThinkStats3
MarriageNSFG
a-bad-synthesizer
bayesian-model-evaluation
bayesian-analysis-recipes
BayesianInferencePyMC
thinkjava5
ComplexityScience
BayesSeminar
BayesForUndergrads
SoftwareDesign
plastex-docbook
RecidivismCaseStudy
ElementsOfDataScienceBook
QEACode
JavaOOP
ThinkPythonSolutions
ModSim
ProbablyOverthinkingIt2
ISSPRegression
FirstLateNSFG
complexity
TheShakes
cs-java-hello-world-lab-codeU
SoftwareSystems
DataScience
GunControlGenerational
GssExtract
feedback_control_for_computer_systems
amgit
GssReligion
python-conference-beginners-day
numpy
ThinkOCaml
TeamAllocation
ThinkX
free-programming-books
Probabilistic-Programming-and-Bayesian-Methods-for-Hackers
astropy-workshop-belfast-2019
ThinkPerl6
fastdoc
matplotlib
ModSimMatlab
matlabsolutions
Operating-Systems-and-Middleware--Supporting-Controlled-Interaction
PythonFun
google-10000-english
InspectionParadox
JupyterAsciidocTemplate
Bayes_Computing_Course
HeriReligion
Notebooks
2021-01-07-aas-online
data_sci_guide
2020-11-16-astrodc-online
AfroBarometer
nbdev
blair-walden-project
workshop-template
essays-on-data-science
astroquery
ThinkJavaSequel
OlinPyShop
rethinking
ir-sea
simulating
plastex-oreilly
internet-religion
GD1-DR2
thinkpythonchinese
dolphot-explorer
birthmarks
betelbot
PythonCounterPmf
python-ecology-lesson
2019-08-27-needham
pysam
ds-tutorials
python-in-hydrology
OpioidsAndDemographics
AtmoChem
Yanny-Laurel
PyCon2016
networkx
hello-world-ruby-002
first-lab-ruby-learn-cli-nitrous-intro-to-learn
LongTailedDistributions
traffic-safety
skimage-tutorials
fsj
SoftDes
