vim-abolish
vim-fugitive
vim-surround
vim-commentary
vim-speeddating
vim-vinegar
vim-obsession
vim-eunuch
vim-characterize
vim-rails
vim-sensible
vim-endwise
vim-dadbod
vim-sleuth
vim-unimpaired
vim-pathogen
vim-projectionist
vim-dispatch
vim-dotenv
vim-fireplace
vim-repeat
vim-scriptease
vim-rhubarb
gem-shut-the-fuck-up
vim-classpath
vim-rsi
dotfiles
vim-tbone
vim-flatfoot
vim-sexp-mappings-for-regular-people
vim-flagship
vim-jdaddy
vim-haystack
vim-afterimage
vim-apathy
vim-capslock
git-bump
vim-bundler
timl
heroku-fucking-console
hookup
vim-rake
chrome-defenestration
vim-vividchalk
vim-git
vim-ragtag
rbenv-aliases
vim-markdown
vim-liquid
gem-ctags
vim-haml
zerbo
tpope.github.com
girth
rack-taint
rbenv-sentience
heroku-pgbackups-pull
pry-editline
ldaptic
rbenv-readline
lein-dotenv
heroku-binstubs
rbenv-communal-gems
heroku-buildpack-ruby-tpope
heroku-wildcards
heroku-surrogate
pickler
heroku-remote
fivemat
.github
vim-rbenv
vim-rvm
hub
artifice-passthru
rumember
rails-default-database
neovim
vim-salve
rbenv-ctags
vim-heroku
gem-browse
vim-cucumber
vim
mta-settings
