vmt
williballenthin
nihilus
mgeeky
radare
OevreFlataeker
seifreed
dismantl
kevthehermit
OsandaMalith
MaxXor
horsicq
rogerorr
vallejocc
theevilbit
ajkhoury
BreakingMalware
glinares
TheWover
odzhan
Zer0Mem0ry
laomms
thefLink
kkent030315
connormcgarr
MrEn1gma
0xpat
