py-shiny
bigrquery
dataAnim
stats-illustrations
mastering-shiny
lazyeval
particles
dplyr
fivethirtyeight
googlesheets
gganimate
ggraph
Errol
rcppcctz
cctz
shinyTree
ReadStat
r2d3
pkgdown
reasoned-schemer
bigvis
gtable
ggmap
mturkr
boxplots-paper
httr
lvplot
lvplot-paper
whisker
vita
devtools
ggplot2
devtools
ggplot2
devtools
spatialVis
Skeleton
vis-migration
tidy-data
tidy-data
jquery.terminal
test_that
distpower
data-movies
stringr
devtools
cranvas
plyr
mexico-mortality
fortify
legends
bin
scales
layers
layers
test_that
updatr-client
updatr-server
devtools
sinartra
memoise
scales
scales
densityvis
plumbr
bench
prodplotpaper
appdirs
pop-flows
sinartra
cranvasOLD
maplight-data
productplots
helpr
stringr
stat405-practice
toc-vis
ggplot2-bayarea
tote
csvget
mutatrGui
stat405-resources
mutatr
PopCon
qtpaint-demos
data-movies
data-baby-names
data-housing-crisis
ideas
hadley.github.com
lubridate
munsell
beautiful-data
selectorgadget
plyr
data-fuel-economy
data-counties
sfhousing
rminds
localmds
weeder
scagnostics
meifly
reshape
decumar
clusterfly
classifly
ggplot2
ggplot2-book
evaluate
crantastic
profr
gitnub
