michaelklishin
ynd
brentp
mmcgrana
chl
mrflip
antoniogarrote
bwhite
hammer
hmason
kryton
matpalm
aria42
brutasse
richhickey
ealdent
dpo
yarikoptic
npinto
lucasjosh
jtriley
jolby
ctb
andreisavu
marcua
dwf
datawrangling
ngrunwald
turian
almet
bslatkin
MaineC
bradford
luispedro
jhofman
JohnLangford
cwr
evo42
hamilton
poilvert
echen
pprett
ohe
ronw
troger
aweinstein
jarrodmillman
nathanmarz
genji
jbilcke
fcostin
mikedewar
minrk
agramfort
petewarden
alienrobotwizard
jaberg
satra
algoriffic
ndawe
GaelVaroquaux
japerk
jnioche
mateiz
mosharaf
mblondel
bthirion
pierreg
bytefish
karpathy
jbornschein
vene
isoboroff
tdunning
pereferrera
teoliphant
davidandrzej
emmanuelle
paolo-losi
marcelcaraciolo
fabianp
vmichel
jseabold
pberkes
mbrucher
ronnix
wesm
larsmans
duchesnay
MatthieuPerrot
julienledem
goodfeli
ankurdave
thouis
akervern
omitevski
jrennie
lkemen
aficionado
scampion
tmpbci
njwilson
endpnt
hkorte
adamklein
CamDavidsonPilon
jasonbaldridge
kottmann
fridiculous
srifai
jaquesgrobler
calvingiles
tuzzeg
carlkl
raghavrv
lucyleeow
