PL-300-Microsoft-Power-BI-Data-Analyst
PL-400_Microsoft-Power-Platform-Developer
PL-200-Power-Platform-Functional-Consultant
PL-100-Microsoft-Power-Platform-App-Maker
PL-900-Microsoft-Power-Platform-Fundamentals
dp-203-azure-data-engineer
AZ-104-MicrosoftAzureAdministrator
Principles-of-Machine-Learning-Python
mslearn-openai
Challenge-Project-deploy-component-class-libraries
Challenge-Project-design-object-collaboration
Challenge-Project-delegates-events-exceptions
Challenge-Project-asynchronous-programming
Challenge-Project-design-object-oriented-structures
Challenge-Project-implement-inheritance-abstraction-polymorphism
SC-200T00A-Microsoft-Security-Operations-Analyst
PL-7003-Create-and-manage-model-driven-apps-with-Power-Apps-and-Dataverse
PL-7002-Create-and-manage-canvas-apps-with-Power-Apps
PL-7001-Create-and-Manage-Automated-Processes-by-using-Power-Automate
AZ400-DesigningandImplementingMicrosoftDevOpsSolutions
MB-820-Business-Central-Developer-Certification
mslearn-generative-ai
mslearn-databricks-ml
MD-102T00-Microsoft-365-Endpoint-Administrator
AZ-204-DevelopingSolutionsforMicrosoftAzure
mslearn-azure-ml
AI-900-AIFundamentals
mslearn-fabric
SC-300-Identity-and-Access-Administrator
DP-500-Azure-Data-Analyst
AI-102-AIEngineer
AZ500-AzureSecurityTechnologies
AZ-140-Configuring-and-Operating-Microsoft-Azure-Virtual-Desktop
Data-Science-Essentials
Essential-Math-for-Data-Analysis
eShopOnWeb
mslearn-ai-services
mslearn-ai-language
AZ-305-DesigningMicrosoftAzureInfrastructureSolutions
AZ-204-DevelopingSolutionsforMicrosoftAzure.fr-fr
Essential-Math
mslearn-ai-fundamentals
mslearn-dp100
INF99X-SampleCourse
DP-900T00A-Azure-Data-Fundamentals
MB-500-Microsoft-Dynamics-365-Finance-and-Operations-Apps-Developer
MS-102T00-Microsoft-365-Administrator-Essentials
MB-800-Business-Central-Functional-Consultant
AI-102-AIEngineer.zh-cn
AZ-300-MicrosoftAzureArchitectTechnologies
mslearn-doc-intelligence
LearningPython
edX-DEV212x-Intro-to-DevOps
Data-Science-Orientation
intropython
DAT238x-AzureDataCatalog
