py-faster-rcnn
rcnn
yacs
caffe-fast-rcnn
fast-rcnn
rbgirshick.github.io
voc-dpm
DeepPyramid
ammi_cv_object_detection_labs
star-cascade
dp-dpm
caffe
pycls
voc-release4.01
Detectron
lvis-api
cocoapi
