karpathy
mli
torvalds
google
xinjin
romilbhardwaj
MaxXSoft
Michaelvll
sunface
mit-pdos
peng-zhihui
merrymercy
LiuXiaoxuanPKU
yudshj
zhuohan123
leimao
edauterman
jiry17
gudiandian
stanford-crfm
thuhg18
riscv-software-src
PKU-OS
pkusys
