VALL-E-X
Langchain-Chatchat
AnimateDiff
ComfyUI
tortoise-tts
pot-desktop
PaddleSpeech
Bark-Voice-Cloning
CodeFormer
MockingBird
Real-Time-Voice-Cloning
voice-changer
funNLP
Rope
Sunshine
multidiffusion-upscaler-for-automatic1111
SteamTools
DLSSTweaks
stable-diffusion-webui
stable-diffusion-webui-directml
awesome-ai-painting
Hide-My-Applist
magisk-files-old
Magisk-Alpha
ZygiskNext
ffmpeg-stable-autobuild
ffmpeg-autobuild
pineapple-src
Cemiuiler
StarRailCopilot
StarRailAssistant
gkd
LiTiaotiao-Custom-Rules
AntiVM
