drkostas
Pong-Q-Learning
drkostas.github.io
Machine-Learning-Algorithms
SemiSeg-Contrastive
JobApplicationBot
python_search_engine
shooter-game-with-p5js
Youtube-FirstCommentBot
Minecraft-AI
HGN
Insta-Likes-Predict
pyemail-sender
AndroidApp-FootballMatchLogger
high-sql
cloud-filemanager
OnDemandMinecraft-Mirrored
TuneCraft
IEEEXtreme10.0_Hackerrank
3D-Semantic-Segmentation
SpotiClick
GI-Tract-Segmentation
MVCNMF
DSL
BERT-Question-Answering
accident-severity-prediction
Scripts
Quantum-Mechanics-Quiz-App
pollution-display-portal
EESTech-BigData-Challenge
multi-kubernetes-course
docker-react-course
multi-docker-course
Garmin-Activities-Tool
OnDemandMinecraft
Dark-mode-Franz-Ferdi
template_python_project
SimpleCrawler
Data-Science-Methods
covid19-vaccinations-predict
Bayesian-Statistics-Algorithms
tda_examples
starter
yaml-config-wrapper
termcolor-logger
bench-utils
Numpy-NeuralNet-1
Numpy-CNN
Tensorflow-Training-Demo
LSTMs-Training-Demo
RL-Value-Iteration
Cross-The-Floor
