Jenkins-Zero-To-Hero
python-for-devops
GitHub-Actions-Zero-to-Hero
cicd-end-to-end
argo-cd
prometheus-Grafana-Zero-to-Hero
argocd-operator
terraform-zero-to-hero
aws-devops-zero-to-hero
Docker-Zero-to-Hero
Kubernetes-Zero-to-Hero
devops-project-ideas
write_your_first_terraform_project
Golang-Zero-to-Hero
shell-scripting-projects
cicd-demo-golang
argo-rollouts
k8s-kyverno-argocd
k8s-crossplane-argocd
argo-rollouts-manager
devops-interview-preparation-guide
gitops-operator
argo-perf-test
cis-istio-integration
design_diagrams
devtron
argoproj
community-operators
sandbox
community-operators-prod
gitops-node-headers
officeassistant
IPLPrediction
