adversarial
dlbook_exercises
dlbook_notation
theano_exercises
galatea
forgetting
Theano
models
ContestDataset
TheanoLinear
improved-gan
book-figures
pylearn2
MNIST
ccw_tutorial_theano
momentum
testing
cleverhans
