sealion
dioxus
PhoGPT
TaskMatrix
GroundingDINO
segment-anything
ColossalAI
instructor
TensorRT-LLM
cleanlab
layoff-runbook
GPTCache
ml-engineering
Medusa
RedPajama-Data
aicommits
attention_with_linear_biases
OpenPipe
guidance
ARC
BIG-bench
instructor-embedding
faker
kenlm
langid.py
langdetect
dspy
pgrx
pgvecto.rs
mmpretrain
mmagic
opencompass
candle
faster-whisper
mteb
FlagEmbedding
codellama
graph-of-thoughts
unstructured
NExT-GPT
bevfusion
streaming-llm
pycorrector
marvin
mistral-src
MemGPT
PentestGPT
BigDL
Merlion
khoj
activepieces
continue
camel
cursor
gpt-migrate
gpt-pilot
gpt-researcher
open-interpreter
pezzo
developer
superagent
alpa
PettingZoo
Gymnasium
awesome-tensor-compilers
FlexGen
server
dot
AutoPR
Qwen-Agent
sweep
promptflow
RecBole
TypeChat
X-LLM
OpenAgents
ctransformers
mpt-30B-inference
aider
agents
omnivore
czkawka
BMTools
ToolBench
AgentVerse
ChatDev
OpenPrompt
semantic-kernel
text-generation-webui
PaddleNLP
dalai
CogVLM
AgentBench
ChatGLM-6B
EasyLM
guardrails
unilm
ggml
star-history
ollama
pytorch3d
multimodal
nougat
accelerate
datasets
einops
flash-attention
hypothesis
LocalAI
diffusionbee-stable-diffusion-ui
Fooocus
stable-diffusion-webui-colab
vit-pytorch
stable-dreamfusion
prompt-engine
Flowise
dify
embedchain
SuperAGI
AutoGPT
whisper
stable-diffusion-webui
chainlit
gpt4all
llama_index
mlc-llm
web-llm
OpenLLM
gorilla
open_flamingo
Otter
stablediffusion
Open-Assistant
diffusers
trl
rivet
localGPT
peft
axolotl
vllm
FastChat
evals
ragas
helm
gill
LAVIS
skypilot
CLIP_prefix_caption
Solutions-to-Machine-Learning-Interviews-Book-By-Chip-Huyen
diffusiondb
shikra
LLaVA
bitsandbytes
risingwave
numaflow
CommunityWriterPrograms
ann-benchmarks
alpaca-lora
NeMo-Guardrails
genai
uPlot
ml-stable-diffusion
stanford_alpaca
data-science-road-map
llama
chatgpt-retrieval-plugin
sgpt
the-algorithm
wtfjs
langchain
nbdime
openai-cookbook
pyo3
tokio
qdrant
temporal
pyyaml
rusty
linux
stable-diffusion
yeoman
requests
gharchive.org
jotai
KeyDB
monolith
calcite
tensortrade
session-rec
mle-interview-questions
typer
torcharrow
clp
malloy
tinkerpop
awesome-full-stack-machine-learning-courses
velox
timescaledb
hazelcast
geode
incubator-heron
faktory
learned_optimization
MLE-Flashcards
dowhy
incubator-liminal
debezium
featureform
DeepCTR
tensorflow-DeepFM
fiddle
annoy
DeepSpeed
ffcv
faceswap
composer
k9s
timeshap
tsai
ploomber
polars
cudf
connector-x
ksql
datahub-gma
liquibase
openwhisk
nuclio
deeplake
lineapy
pandera
poetry
plumber
Ax
sandman2
nlpaug
intake
lux
EconML
ormb
datahub
spark-testing-base
matomo
sentry
growthbook
planout
bytewax
kserve
lit
commuter
rocketmq
Transformers4Rec
interpret
competitions
lightdash
duckdb
deepchecks
metabase
evidently
openmemex
label-studio
erdos
reclist
docker-python
ClickHouse
m3
flux2
confluent-kafka-python
blog
zeppelin
hamilton
mltrace
serve
autoscaler
dl-on-flink
kafka-python
kayenta
NVTabular
iceberg
vespa
differential-dataflow
leveldb
lucene
ansible
omegaconf
torchmetrics
feast
arrow
vision_transformer
alibi
minibatch
mantis
couler
allennlp-models
gemmini
brain.js
synaptic
FedML
moa
myia
lingvo
OpenMLDB
argo-workflows
awesome-pipeline
triton
dlrm
fzf
optbinning
h2o-3
dm-haiku
sawmill
abseil-py
weka-3.8
modeldb
emotion_dataset
aim
build-your-own-x
mal
jython
deequ
tuplex
ibis
hummingbird
tutorials
DeepCTR-Torch
aima-python
learning
system_design
deeplearning-models
Continual-Learning-Benchmark
you-dont-need-a-bigger-boat
dbt-core
AID
boxkite
alibi-detect
avalanche
redash
SIGIR-ecom-data-challenge
datasets
docute
aerosolve
Made-With-ML
whylogs
lucet
WASI
Kats
binderhub
flutter
tvm-docker
glow
determined
pachyderm
utterances
visdom
AIF360
terraform
llvm-project
tfjs
XNNPACK
dependabot-core
deepstream.io
pyro
resilience-engineering
chaosmonkey
json-ld.org
istio
wasmer
kubeflow
pipelines
training-data-analyst
hasktorch
gpuweb
emscripten
plotly.js
nlp.js
natural
ml
pyodide
graphql-js
sklearn-porter
magenta-js
wtte-rnn
convoys
lifelines
tvm
webiny-js
checkov
k6
earthly
analytics
typesense
supabase
glow
rasa
brave-browser
thingsboard
vector
cs329s-ml-deployment-tutorial
mmf
pymde
larq
jax
scalene
zenml
consul
budgetml
ydata-profiling
stable-baselines
temperature_scaling
AutoAugment
superset
ludwig
MNN
robustness-gym
pymoo
data-engineer-roadmap
datascience-fails
rabbitmq-server
captum
hydra
byteps
euler
the-pile
plugin-mathjax
algorithm-archive
honkit
machine-learning-interview
backend.ai
fastpages
terminusdb
lightning
catalyst
gensim
LightGBM
boruta_py
cortex
gradio
scikit-multiflow
nteract
Paddle
netron
vowpal_wabbit
labelImg
mindspore
elasticsearch
faust
gemmlowp
fbthrift
rocksdb
faiss
milan
jina
conformal_classification
timely-dataflow
Alink
mleap
materialize
jupytext
nbdev
metaflow
nifi
Pygame
pulsar
pravega
handcalcs
NMEA2000
nanovna-saver
deepface
AlphaPy
awesome
awesome-stacks
kedro
orchest
dash
awesome-gans-and-deepfakes
the-book-of-secret-knowledge
CV-pretrained-model
InfoGAIL
dolt
AutoML
prefect
clearml
haystack
keepsake
awesome-mlops
manifold
inspec
facets
papermill
interpretable-ml-book
armeria
TensorRT
webdnn
plaidml
great_expectations
snorkel
checklist
cml
production-tools
tpot
docusaurus
excalidraw
vega-lite
d3
altair
plotly.py
covid-19
FATE
delta
hudi
DataTables
sistine
lime
shap
polynote
streamlit
airflow
doccano
grafana
bokeh
featuretools
material-ui
presto
flink
quine-relay
PyTorch-BigGraph
pytorch_geometric
predictionio
framework
quickstart-android
foundationdb
redis
prometheus
mahout
angel
amundsen
vearch
milvus
aresdb
bandit
turicreate
server
weld
joblib
koalas
nixpkgs
BentoML
modin
dask
python-guide
pipreqs
git-lfs
quilt
black
ray
hyperopt
ceph
kafka
fuzzywuzzy
pre-commit-hooks
PySyft
cortex
keystone
awesome-bazel
cypress
CommonRegex
mux
scikit-learn
ebookMLCB
purecss-francine
moto
toml
isort
starlette
postgres
MagicPython
httptools
edgedb
uvloop
fastapi
FrameworkBenchmarks
pex
vaex
principles
pandas
coding-interview-university
Production-Level-Deep-Learning
LASER
FiraCode
clojure
clojure-koans
500lines
cpython
cortex
mltest
the-art-of-command-line
CodeSearchNet
mlflow
