python-sigma
THM
awesome-malware-analysis
calebstew.art
Awesome-Hacking
pwncat
ignition-key.kali
DoubleAgent
ThreadBoat
SAMPLE-IAT-DUMPER
ring3-kit
pam_sneaky
RegistryBaseline
