scikit-learn-tips
scikit-learn-videos
python-reference
DAT8
pandas-videos
python-data-analysis-workshop
Machine-Learning-Tutorials
awesome-datascience
scikit-learn
pycon-2019-tutorial
pydata-dc-2016-tutorial
pycon-2016-tutorial
kaggle-pycon-2015
DAT4
DAT3
trump-lies
justmarkham
awesome-machine-learning
pycon-2018-tutorial
kaggle-allstate
dplyr-tutorial
DAT7
tidy-data
DAT5
python-data-science-workshop
DataSciencePython
machine-learning-for-software-engineers
challenges
coursera-getting-data
DataScienceSpecialization.github.io
dc-michelin-challenge
crisp-ghost-theme
data
PracticalMachineLearning
babynames
ExData_Plotting1
RepData_PeerAssessment1
ufo-reports
gadsdc
