folddigest.vim
taglist.vim
c.vim
Align
jianfan
SQLUtilities
ReplaceWithRegister
AutoComplPop
winmanager
autoscroll.vim
VimCompletesMe
Pydiction
applescript.vim
a.vim
YankRing.vim
DrawIt
rfc-syntax
ScrollColors
argtextobj.vim
RTL
ttcn-syntax
turbo.vim
asmx86
lua_omni
vtags
CycleColor
vim-bgimg
cmdalias.vim
ocean.vim
VisIncr
xoria256.vim
PDV--phpDocumentor-for-Vim
visualrepeat
chinachess.vim
darkroom
edifact.vim
netrw.vim
VimIM
Conque-GDB
restore_view.vim
SearchComplete
greenvision
quick-scope
WriteRoom-for-Vim
AnsiEsc.vim
vimux
DoxygenToolkit.vim
LargeFile
cursoroverdictionary
let-modeline.vim
matchit.zip
auto_wc.vim
tabula.vim
spacehi.vim
vundle
verilog_emacsauto.vim
dbext.vim
MultipleSearch
vim-auto-save
genutils
bufkill.vim
TeTrIs.vim
Auto-Pairs
Syntax-for-Fasta
ZoomWin
Gundo
javaimports.vim
grep.vim
L9
FuzzyFinder
Conque-Shell
Spacegray.vim
vis
mru.vim
eukleides.vim
SyntaxComplete
BufOnly.vim
HJKL
twilight256.vim
vim-php-namespace
xmms-play-and-enqueue
xmms2ctrl
xmmsctrl.vim
vimxmms.tar.gz
svg.vim
sudo.vim
phpvim
vimscript
vimsh
Rename2
fcitx.vim
vim-ralf-syntax
snpsMan2VimSyntax
dctl.vim.gz
pt.vim.gz
CmdlineComplete
OmniCppComplete
The-NERD-tree
word_complete.vim
proguard.vim
fountain.vim
fountainflow.vim
custom_dict
utl.vim
AppendComment.vim
UltiSnips
Asciitable.vim
todo-txt.vim
cream-vimabbrev
LaTeX-Box
Syntastic
transpose-words
gruvbox
vfp8.vim
functionlist.vim
HTML-AutoCloseTag
simplecommenter
BlockComment.vim
tComment
RelativeNumberCurrentWindow
OutlookVim
Risto-Color-Scheme
paredit.vim
vimwiki
Vim-EPUB
GetLatestVimScripts
cscope.vim
yaifa.vim
Vim-R-plugin
Improved-paragraph-motion
javacomplete
pytest-compiler
zoom.vim
zrf.vim
Efficient-python-folding
php_getset.vim
sieve.vim
wombat256.vim
PaperColor.vim
showhide.vim
gisdk
VimClojure
VOoM
psql.vim
fish.vim
loremipsum
Gummybears
VST
ConflictMotions
CSApprox
rtorrent-syntax-file
LustyJuggler
Rainbow-Parenthesis
scilab.vim
DirDiff.vim
Vimya
templator
gtags.vim
hunspchk.zip
indentLine.vim
pythoncomplete
vimgdb
bufexplorer.zip
nexus.vim
indentpython.vim
mom.vim
ifdef-highlighting
delimitMate.vim
VimLite
splunk.vim
deb.vim
vim-root
PureBasic-Syntax-file
Emmet.vim
MountainDew.vim
GreedyBackspace.vim
vim-orgmode
nscripter.vim
asmM6502.vim
undotree.vim
swamplight
Relaxed-Green
chlordane.vim
xterm16.vim
rgbasm.vim
renamer.vim
winhelp
formatvim
xterm-color-table.vim
Colortest
gnupg.vim
tiddlywiki
Nmap-syntax-highlight
ddldbl.vim
python.vim--Vasiliev
VimRepress
code_complete-new-update
TagHighlight
PyMol-syntax
SnippetsMgr
FavEx
ReplaceWithSameIndentRegister
TeX-9
ruby-matchit
auto-pairs-gentle
confirm-quit
CodeReviewer.vim
TaskList.vim
desertedocean.vim-B
desertedocean.vim
robokai
BusyBee
vim-expand-region
SyntaxAttr.vim
ShowMarks
Gist.vim
EasyClipRing.vim
ShowTrailingWhitespace
spreadsheet.vim
calibre.vim
backup.vim
sketch.vim
load_template
ctrlp-z
PAM-CRASH-Syntax-Highlighting
LanguageTool
Highlight-UnMatched-Brackets
vim-javacomplete2
fpc.vim
google.vim
po.vim--gray
nuweb-multi-language
perl-support.vim
scratch.vim
DokuVimKi
idevim.tgz
VimTweak
gvimfullscreen_win32
APL-character-picker
bats.vim
pyte
ck.vim
RltvNmbr.vim
AutoTag
hexman.vim
LogViewer
squirrel.vim
Decho
nc.vim--Eno
doxygen-support.vim
occur.vim
HyperList
Smart-Tabs
EvalSelection.vim
excel.vim
vim-webdevicons
Haskell-Conceal
bash-support.vim
anwolib
EasyGrep
delete-surround-html
django.vim--Ronacher
scrollfix
vim-gitgutter
browser.vim
truegrid.vim
AutoClose
pf.vim
