plot2
poorman
snarkdown
LxgwWenKai
remark-it
minidown
datadrivencv
ElegantBookdown
govdown
cv
equatiomatic
aRt
Shiny_Full_Flow
noteMD
rweekly.org
slidex
rstudio
hugo-tanka
robjhyndman.com
source-han-serif
awesome-blogdown
rdrop2
forecast
bookdown_ja_template
tensorflow
Reproducibilidad
wordcloud2
spectra
catsplainr
Science
blog
awesome-R
rjulia
xgboost
woRstfigures
KaTeX
Rwordseg
tmcn
commonmark-spec
sfsmisc
LyX-knitr-template
resume.github.com
patchKnitrSynctex
BayHac2014
gitbook
RSkittleBrewer
stat-learning
bayesian_first_aid
showtext
jsonlite
knitr-template
gWidgets2
install-tl-ubuntu
Poster_SampleMixups
WebTechnologies
SublimeKnitr
pandoc
echarts
pqR
cos_stat
corrplot
rARPACK
clickme
Renren
harlemcmc-shake
names
Rweibo
staTeX
R-User-Meetings
scianimator
keydown
Play-Econometrics-with-R
swfDevice
pgfSweave
RTikZDevice
processing-js
