tobi
jgm
hadley
zaxtax
avibryant
matpalm
johnmyleswhite
ept
nborwankar
sir-pinecone
davies
stefanv
radford
fperez
holdenk
turian
johnynek
fonnesbeck
kevinjqiu
ogrisel
sirupsen
echen
jaberg
teorth
marcharper
spacecowboy
sigmavirus24
tdunning
teoliphant
erikerlandson
jdan
jseabold
benkuhn
mrocklin
FrancescAlted
takluyver
wesm
larsmans
dfm
josef-pkt
amueller
KartikTalwar
kevincox
alranel
sryza
twiecki
jakevdp
ChrisBeaumont
jvns
rgbkrk
gklambauer
trishume
chmp
erikbern
mathisonian
kayousterhout
harrelfe
statwonk
lipiji
TomAugspurger
gustavdelius
jtleek
rinze
akelleh
AllenDowney
ColCarroll
Newmu
cdanielmachado
wrobstory
ashater
svenkreiss
tejasapatil
rmcelreath
jchodera
norvig
NikolaiT
RMDK
alexpkeil1
srossell
therneau
3b1b
carysmills
eleanormurray
Pioreactor
