kaf-cli
promptflow
autogen
semantic-kernel
MetaGPT
openai-cookbook
ChatGLM-6B
privateGPT
localGPT
vllm
WizardLM
llama.cpp
langchain
ggml
whisper.cpp
stanford_alpaca
gpt4all
Open-Assistant
FastChat
opencbdc-tx
free-programming-books
mirbft
coding-interview-university
PySnooper
cashlib
GmSSL
envoy
testssl.sh
fn
awesome-go
awesome-python
zipkin
go-micro
Hystrix
cfssl
shadowsocks-manager
python-data-structure-cn
bokeh
deeplearningbook-chinese
superset
algorithm-visualizer
tidb
hyperledger
interpy-zh
go-datastructures
kubernetes
docker-bench-security
mysql_perf_analyzer
build-web-application-with-golang
ovs
etcd
aosabook
