jax
jaxopt
awesome-jax
altair
setup-miniconda
ridge_map
black
six
sparse
celerite
condamagic
nosebook
gh-publisher
gh-publisher
ten-rules
open-in-nbviewer
faststats
george
OSCAAR
pyrallel
hyde
numba
talks
julia
memview_benchmarks
sklearn_tutorial
cython
ipython
html-css-resume-template
administrative
administrative
pyDistances
scikit-learn
pyCRFsuite
pyTree
matplotlib
numpy
pyLLE
scipy
scikit-learn
pyOrbits
julia
scipy
matplotlib
cython
numpy
scikit-learn
ipython
