spring-boot-security-jwt-auth-mongodb
generator-jhipster
simple-angular6-app
newman
reactivewebserver
spring-framework
delivery
spring-boot-starter-drools
sql-server-samples
batch-service
spring-boot-rabbitmq
swagger-ui
spring-hateoas
spring-boot
spring-data-jpa
spring-security
spring-security-oauth
spring-security-registration
artigo-spring-security
spring-security-oauth-example
rest-hateoas-example
meutreinamento
startSpring
