llama-qrlhf
q-transformer
vit-pytorch
Adan-pytorch
meshgpt-pytorch
audiolm-pytorch
invariant-point-attention
mirasol-pytorch
stylegan2-pytorch
denoising-diffusion-pytorch
vector-quantize-pytorch
ema-pytorch
PaLM-pytorch
mlp-mixer-pytorch
metnet3-pytorch
naturalspeech2-pytorch
deep-daze
reformer-pytorch
DALLE2-pytorch
soundstorm-pytorch
charformer-pytorch
tab-transformer-pytorch
TimeSformer-pytorch
conformer
uformer-pytorch
res-mlp-pytorch
local-attention
x-unet
lion-pytorch
med-seg-diff-pytorch
x-transformers
memorizing-transformers-pytorch
attention
bottleneck-transformer-pytorch
imagen-pytorch
memory-efficient-attention-pytorch
spear-tts-pytorch
soft-moe-pytorch
voicebox-pytorch
point-transformer-pytorch
big-sleep
robotic-transformer-pytorch
toolformer-pytorch
magvit2-pytorch
CoCa-pytorch
rotary-embedding-torch
FLASH-pytorch
PaLM-rlhf-pytorch
protein-bert-pytorch
block-recurrent-transformer-pytorch
phenaki-pytorch
make-a-video-pytorch
st-moe-pytorch
alphafold2
DALLE-pytorch
deformable-attention
musiclm-pytorch
segformer-pytorch
speculative-decoding
flamingo-pytorch
axial-attention
egnn-pytorch
geometric-vector-perceptron
muse-maskgit-pytorch
memory-transformer-xl
evolutionary-design-molecules
gigagan-pytorch
iTransformer
video-diffusion-pytorch
ddpm-proteins
simple-hierarchical-transformer
einops-exts
x-clip
transganformer
electra-pytorch
enformer-pytorch
gradnorm-pytorch
chroma-pytorch
BS-RoFormer
performer-pytorch
byol-pytorch
nuwa-pytorch
perceiver-pytorch
unet-stylegan2
linear-attention-transformer
medical-ai-experiments
ddpm-ipa-protein-generation
CoLT5-attention
routing-transformer
STAM-pytorch
classifier-free-guidance-pytorch
bidirectional-cross-attention
Mega-pytorch
bit-diffusion
MEGABYTE-pytorch
TPDNE
medical-chatgpt
RITA
flash-attention
PaLM-jax
halonet-pytorch
mixture-of-experts
siren-pytorch
nystrom-attention
gateloop-transformer
flash-genomics-model
RETRO-pytorch
zorro-pytorch
parti-pytorch
flash-cosine-sim-attention
diffusion-policy
anymal-belief-state-encoder-decoder-pytorch
dreamcraft3d-pytorch
kalman-filtering-attention
pause-transformer
complex-valued-transformer
perfusion-pytorch
MaMMUT-pytorch
recurrent-memory-transformer-pytorch
mixture-of-attention
neural-plexer-pytorch
coordinate-descent-attention
autoregressive-linear-attention-cuda
rvq-vae-gpt
equiformer-diffusion
recurrent-interface-network-pytorch
memory-editable-transformer
holodeck-pytorch
equiformer-pytorch
transframer-pytorch
discrete-key-value-bottleneck-pytorch
flash-attention-jax
gated-state-spaces-pytorch
perceiver-ar-pytorch
VN-transformer
tranception-pytorch
insertion-deletion-ddpm
flexible-diffusion-modeling-videos-pytorch
differentiable-SDF-pytorch
compositional-attention-pytorch
retrieval-augmented-ddpm
ITTR-pytorch
tableformer-pytorch
RQ-Transformer
ETSformer-pytorch
logavgexp-torch
rela-transformer
tf-bind-transformer
n-grammer-pytorch
panoptic-transformer
uniformer-pytorch
hourglass-transformer-pytorch
jax2torch
remixer-pytorch
HTM-pytorch
triton-transformer
ponder-transformer
fast-transformer-pytorch
token-shift-gpt
multistream-transformers
h-transformer-1d
triangle-multiplicative-module
long-short-transformer
graph-transformer-pytorch
progen
NWT-pytorch
local-attention-flax
mlp-gpt-jax
g-mlp-gpt
g-mlp-pytorch
CLAP
glom-pytorch
coco-lm-pytorch
omninet-pytorch
transformer-in-transformer
En-transformer
tr-rosetta-pytorch
feedback-transformer-pytorch
se3-transformer-pytorch
ESBN-pytorch
lie-transformer-pytorch
cross-transformers-pytorch
adjacent-attention-network
pi-GAN-pytorch
molecule-attention-transformer
pixel-level-contrastive-learning
hamburger-pytorch
lightweight-gan
isab-pytorch
memformer
lambda-networks
global-self-attention-network
phasic-policy-gradient
kronecker-attention-pytorch
marge-pytorch
mlm-pytorch
memory-compressed-attention
slot-attention
linformer
compressive-transformer-pytorch
axial-positional-embedding
product-key-memory
contrastive-learner
sinkhorn-transformer
pytorch
AoA-pytorch
einops
genetic-algorithm-pytorch
learning-to-expire-pytorch
simplicial-attention
ResizeRight
FUSS-nim
llama2.nim
nim-genetic-algorithm
metaformer-gpt
neural-sequence-chunkers-pytorch
enformer-tensorflow-sonnet-training-script
esbn-transformer
distilled-retriever-pytorch
deep-linear-network
all-normalization-transformer
attention-tensorflow-mesh
scattering-compositional-learner
mogrifier
compare_gan
liquid-conway
coffee-neural-network
nitter
hyena-dna
ColabFold
RFdiffusion
nim-tokenizer
nucleotide-transformer
bitsandbytes
ffcv
deepmind-research
open_clip
Nim
stylegan
CLIP
DALLE-mtf
memcnn
openprotein
equinox
lucidrains.github.io
binding-ddg-predictor
AdaMod
triton
staged-recipes
RaveForce
pytorch-optimizer
tweet-stance-prediction
bolt
nlp
recurrentjs
DeepBind
vectorious
a-painter
lb_pool
arxiv-sanity-preserver
tinygbt-js
tensorflow
jax
RevTorch
omniboard
mesh
clasp
ddpm-jax
rgn2-replica
lucidrains
mujoco
bonito
ANANSE
keops
