Hyper-V-Internals
AlternativeShellcodeExec
SigFlip
Windows-Rootkits
hidden
Malware-Feed
APT_CyberCriminal_Campagin_Collections
pinjectra
Windows-Kernel-Explorer
injection
CreateFile_based_rootkit
bddisasm
tiny_tracer
