PayloadsAllTheThings
SSRFmap
HardwareAllTheThings
InternalAllTheThings
swisskyrepo.github.io
SharpLAPS
Vulny-Code-Static-Analysis
GraphQLmap
Wordpresscan
DamnWebScanner
WHID_Toolkit
Nephelees
jsleak
