awesome-document-understanding
goingmeta
pymoo
llamaindex-guide
BakLLaVA
langchain2neo4j
RAG-with-KnowledgeGraph
VoTT
prompt-in-context-learning
Neural-Re-Rendering-of-Humans-from-a-Single-Image
LangChain-for-LLM-Application-Development
S-LoRA
axolotl
towards-agi
llm_chatbot
NaLLM
Awesome-LLM-KG
llm-course
Awesome-LLMs-Evaluation-Papers
lightllm
NeoGPT-Recommender
relora
Efficient-Tuning-LLMs
autollm
fauxpilot
Intelligent-Document-Processing-with-AWS-AI-ML-
solutions-genai-llm-workshop
Google-Palm2-API-With-LangCahin
trainable-agents
llmware
FreeGPT
superduperdb
ollama
Master-the-LangChain-Prompt-Engineering-Tutorial
TensorRT-LLM
awesome-RLHF
MLOps-Engineering-in-Action
alignment-handbook
lazypredict
DataScienceProjects
LLaVA
dify
LLaMA-Factory
efficientvit
Robby-chatbot
LLM-Document-Chat
streaming-llm
ecosystem-graphs
AutoChain
AgentLLM
sqlcoder
LongLoRA
The-Grand-Complete-Data-Science-Materials
Stable-Diffusion
llm-book
simple-llm-finetuner
LLM-Agent-Paper-List
bookclub
Point2Mask
agents
Get-Things-Done-with-Prompt-Engineering-and-LangChain
mlc-llm
awesome-machine-unlearning
torchkeras
dowhy
awesome-causality-algorithms
causalml
llm-reasoners
following-instructions-human-feedback
trlx
mlrun
llm-examples
llm-examples
ChatDev
Local-LLM-Comparison-Colab-UI
DB-GPT
MetisFL
gpt-pilot
graph-of-thoughts
LLM-Finetuning
embedchain
NeptuneAI_MLOps_Demo
Image-Search-Engine
NER-with-SpanMarker
LLM-RLHF-Tuning
DocsGPT
tensor-house
llm-tutorials
data-science-on-aws
mimicry
awesome-oss-llm-ift-rlhf
GPT_CodeInterpreter
Platypus
serge
audiocraft
linkedin-post-generator
sweep
pysqlite3
Chainlit_Tutorials
inference
HuggingFace_Model_Deployment_On_SageMaker
Llama2-Medical-Chatbot
lama-cleaner
Resume-Matcher
openmodelz
llm-pdf-qa-workshop
Awesome-TimeSeries-SpatioTemporal-LM-LLM
MetaGPT
GenerativeAI_with_PALM
system-design-primer
LLM-Next-Item-Rec
Data-Science-ML-Full-Stack
localGPT
Llama-2-Open-Source-LLM-CPU-Inference
MetaTransformer
ml-stable-diffusion
PromptPG
RT-2
hands-on-rl
text-generation-webui
AnimateDiff
trl
ComfyUI
Semantic-SAM
amazing-bard-prompts
generative-models
Introduction-to-Docker
gen-ai-labs-demos
text-generation-webui-colab
GenAI_LLM_timeline
awesome-llm-engineering
awesome-llm-human-preference-datasets
LLM-Adapters
Bard-API
curated-transformers
long_llama
scipy2023-deeplearning
quivr
azure-openai-llm-vector-langchain
LlamaIndex-course
Modern-Generative-AI-with-ChatGPT-and-OpenAI-Models
Awesome-LLM
langchain-ray
Langchain-Full-Course
falcon-langchain
awesome-langchain
summarizepaper
sequence-based-recommendations
Awesome-Multimodal-Large-Language-Models
Interactive-LLM-Powered-NPCs
LLMsPracticalGuide
CCFCRec
CLCRec
X-LLM
datablations
cloudquery
Grounded-Segment-Anything
segment-anything
gpt-engineer
weaviate
Promptify
helm
LLMSurvey
kubernetes-learning-path
CodeTF
what_are_embeddings
PyInpaint
Video-LLaMA
EasyLM
chain-of-thought-hub
examples
alpaca_chinese_dataset
hugging-llm
IBM-Quantum-Challenge-Spring-2023-Challenge
mediapipe
lm-evaluation-harness
decagon
DS-1000
bloomchat
courses
gunshot_detection
scikit-llm
awesome-generative-ai
pytorch-OpCounter
llama_index
llama-lab
Awesome-LLM-Large-Language-Models-Notes
langchain-ask-csv
riffusion
Summer2024-Internships
system-design-primer
privateGPT
PaLM
langchain
open-llms
Dromedary
langchain-ask-pdf
Chrome-GPT
pandas-ai
Personalize-SAM
llm-foundry
starcoder
ChatGLM-6B
DeepSpeed
llama
MOSS
peft
stanford_alpaca
gpt4all
FastChat
awesome-vscode
shap-e
Youtube-Tutorials
paper-qa
langchain-tutorials
langchain-tutorials
caffe_weight_converter
monitor-custom-ml-engine-with-watson-openscale
LangChain_Tutorial
Treasure_of_LLM
ai-openscale-tutorials
AudioGPT
gpt4free
ai-collection
IF
LLMsPracticalGuide
mmaction2
mlops-amazon-sagemaker
SynapseML
annotated-transformer
Tensor-Puzzles
pdfGPT
MiniGPT-4
Tensorflow_plugin_profile
notion-qa
mlops-notebooks
AutoGPT
Context-Based-LLMChatbot
PwC-Power-BI-in-Data-Analytics-Project
reprodl2021
awesome-compose
TensorRT
xmtf
xTuring
Microsoft-Office-2021
TaskMatrix
football_analytics
Awesome-Prompt-Engineering
Awesome-Prompt-Engineering
awesome-vector-search
dolt
whatsapp-gpt
Machine-learning-pipeline-deployment-using-Docker-and-FastAPI
metric-learn
Awesome-LLMOps
flamingo-pytorch
the-algorithm
Heart_Diseases_Prediction_App_Creation_Using_MLOps_Tools
bdd100k
mlops-template
awesome-multiple-object-tracking
yolo_tracking
lux
dabl
sparsegpt
graph_attention_pool
vscode-chatgpt
scenic
DeepSpeed-MII
Accelerate-Deep-Learning-Workloads-with-Amazon-SageMaker
windows11-Activation-Script
Windows-Activator
cosFormer
pythoncode-tutorials
stable-diffusion-webui-colab
ControlNet
transfer-learning-time-series
nixtla
awesome-diarization
practical-data-privacy
practical-data-privacy
DeepRLInTheWorld
Airbnb-Dynamic-Pricing-Optimization
concrete-ml
MevonAI-Speech-Emotion-Recognition
GCNII
Production-Level-Deep-Learning
llama-dl
pyVRP
dtw
tf-encrypted
PPML
knowledge
advmlthreatmatrix
awesome-open-data-centric-ai
researchgpt
awesome-public-datasets
awesome-open-mlops
amazon-sagemaker-mlops-workshop
Practical-Full-stack-Machine-Learning
PySEAL
ee-dynamic-time-warping
Daily-Dose-of-Data-Science
segformer-tf-transformers
tcav
Vision-Transformer-keras
Learn-TensorFlow
openai-cookbook
Darts_Examples_ES_energy_Transformer
ES_energy_Transformer
ML-Papers-Explained
Prompt-Engineering-Guide
ResNet-LSTM-GCN
Multivariate-Time-Series-Forecasting-using-Darts
tf-transformers
CheatSheet-LLM
Building-Responsible-AI-with-Python
pytorch-ts
time_series_frequency
DWSNets
offsite-tuning
pykt-toolkit
OASW-Concept-Drift-Detection-and-Adaptation
digits-recognizer-kubeflow
OmniXAI
tfx-workshop
ml-deployment
ERNIE
PaLM-rlhf-pytorch
polymath
sketch
awesome-agriculture
Machine-Learning-Model-Serving-Patterns-and-Best-Practices
Graph-Data-Science-with-Neo4j
MLFlow-End-to-End-Workshop-at-Chandigarh-University
dtu_mlops
example_mlops
AVSBench
awesome-github-profile-readme
Deep-Reinforcement-Stock-Trading
tuning_playbook
udlbook
State-of-the-Art-Deep-Learning-Models-in-TensorFlow
deep-learning-models
awesome-chatgpt-prompts
Predictive-Maintenance
kaggle-lions-2017
Kaggle-Passenger-Screening-Challenge-Solution
kaggle-kuzushiji-recognition
tensorflow-certification-study-guide
Python-Roadmap
Cuda-installation-on-WSL2-Ubuntu-20.04-and-Windows11
diffuzers
DEVOPS-WORLD
DEVOPS-WORLD
MLOps
developer-roadmap-guide-2018
DS-Handbook
Docker-For-Python-Machine-learning
ultralytics
uvadlc_notebooks
Time-Series
awesome-time-series-database
ManimML
reservoir-engineering
ML_Ops_stable_diffusion
How-to-Check-if-Time-Series-Data-is-Stationary-with-Python
point-e
noisereduce
tensorflow-knuggies
POLY-GAN
Efficient_Python_tricks_and_tools_for_data_scientists
Awesome-MLOps-Course-Outline
learning-quantum
excalidraw
AWS-Loot
flopco-keras
sig-mlops
Phishing-Website-Detection-by-Machine-Learning-Techniques
image_tabular
MLOps-Project
SEAL
Automated-Machine-Learning-on-AWS
Code-LMs
large-scale-lm-tutorials
machine-learning-in-computer-vision
recipe_rex
deep-learning-for-road-surface-condition
computer-vision-projects-with-pytorch
FixMatch-pytorch
AI-For-Beginners
RecBole
examples
graph-data-science-client
shap-hypetune
pyomo
500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code
stablediffusion
psAI-clOps
awesome-terraform
awesome-docker
3D-Deep-Learning-with-Python
Grapher
benchmark_VAE
Failed-ML
conda
river
stable-diffusion-webui
DreamArtist-sd-webui-extension
DreamArtist-stable-diffusion
Data-Science-Interview-Resources
embetter
Mubert-Text-to-Music
nn-zero-to-hero
machine-learning-interview
pgmpy
Awesome-Hacking
awesome-selfhosted
RWKV-LM
AS-One
Screenshot-to-code
Machine-Learning-Interviews
a-week-in-wild-ai
a-week-in-wild-ai
Artificial-Intelligence-with-Python-Cookbook
ImageDenoisingGAN
torchdynamo
secretflow
pyMultiobjective
the-book-of-secret-knowledge
kaggle-solutions
transformers-interpret
CodeGeeX
knowledge-distillation-keras
pyMetaheuristic
opendatasets
pyMetaheuristic
kernl
vdp
awesome-full-stack-machine-learning-courses
heft
earth-forecasting-transformer
numerizer
chitra
Computer-Vision-Papers-of-the-week
diffgram
MLOps-Basics
cycle-diffusion
awesome-aws
client-python
Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials
skrl
Practical-Deep-Learning-at-Scale-with-MLFlow
Production-Ready-Applied-Deep-Learning
zenml
dstack
rl-sketchpad
ConvKB
fairscale
multi-task-learning-example
MixMatch-pytorch
gae-pytorch
towhee
semantic-segmentation
DeepRL
detrex
Basic_CNNs_TensorFlow2
backstage
ABSADatasets
mtl
pytorch-faster-rcnn
pyannote-metrics
SimAM
RGCN
G613-Double-Typing-issue-resolved
clevr-dialog
machine-learning
2022-Machine-Learning-Specialization
GPT-GNN
SimCLRv1-keras-tensorflow
terraform-aws
Deep-Learning-with-TensorFlow-and-Keras-3rd-edition
ml-knowledge-conflicts
Self-Driving-Cars
AutoML-Implementation-for-Static-and-Dynamic-Data-Analytics
DiffDock
VICRegL
latexify_py
atsaf
distribution-is-all-you-need
time-series-transformers-review
machine-learning-articles
HugsVision
Diffusion-Models-Papers-Survey-Taxonomy
Diffusion-Models-Papers-Survey-Taxonomy
Hyperparameter-Tuning-with-Python
eurybia
Hyperparameter-Tuning-with-Python
Exploring-GPT-3
Getting-Started-with-Google-BERT
self-supervised-speech-recognition
ctc-segmentation
torchinfo
stable-diffusion-tensorflow
RPA-Python
compute
fairgbm
PyTorch_Lightning_Tutorials
tutorials
awesome-github-templates
Semi-supervised-learning
transferlearning
GDLnotes
companion
diffusionbee-stable-diffusion-ui
pcan
ResourceBank_CV_NLP_MLOPS_2022
sssegmentation
openmixup
ml-road
multi-task-NLP
God-Level-Data-Science-ML-Full-Stack
Parsr
tf-explain
tensorflow
feature-selection-in-machine-learning-book
Python-Feature-Engineering-Cookbook-Second-Edition
DataTalks.Club2022
feature-selection-with-feature-engine-book
medium-api-docs
Semantic-segmentation-with-MobileNetV3
fast-wavenet
Cloud-Practioner-Certification-in-28-days
multinerf
DataAug4NLP
data-science-interviews
26-Weeks-Of-Data-Science
awesome-text-generation
TextGAN-PyTorch
dmls-book
Girls-In-AI
Applied-Machine-Learning-Explainability-Techniques
five-video-classification-methods
Papers-of-Robust-ML
ml-aws-specialty-lab
aws-machine-learning-speciality
qmlcourse
Hands-On-Quantum-Machine-Learning-With-Python-Vol-1
machine-learning-notes
tiny-cuda-nn
Computer-Vision-Industry-Use-Cases
dubai-satellite-imagery-segmentation
dubai-satellite-imagery-segmentation
Fine-grained-image-recognition
WeatherDiffusion
ModisWildfireSuperResolutionModel
MRUNet-for-MODIS-super-resolution
rs-esrgan
what-if-tool
experiments_dnn
experiments_dnn
NN_calibration
federated-learning-lib
Awesome-Text-to-Image
deep-daze
awesome-knowledge-distillation
transformer-walkthrough
yolov7
gravity.optimizer
elephas
DSen2
Hyperspectral-Image-Super-Resolution-Benchmark
awesome-federated-learning
PyABSA
dl-imperial-maths
PiML-Toolbox
apple_m1_pro_python
truss
Apple-M1-Chip-Anaconda-Installation
m1-machine-learning-test
Quantum-Computing-Summer-School
LPS-Net
tab-transformer-pytorch
Time-Series-Forecasting-of-Amazon-Stock-Prices-using-Neural-Networks-LSTM-and-GAN-
pytorch_tabular
imagen-pytorch
ModernConvNets
Machine-Learning-on-Kubernetes
XMem
machine_learning_complete
MLE-Flashcards
mozjpeg
deep-reinforcement-learning-notes
Paper-Notes
PyImageSearchGurus-Course
data-science-complete-tutorial
ReFinED
Video-and-Single-Image-Deraining
AIF360
Data-Science-Projects
LeetCode
obfuscated-gradients
Machine-Learning-for-Streaming-Data-with-Python
attention-is-all-you-need-pytorch
Awesome-Pytorch-Tutorials
SlowFast
mindsdb
Andrew-NG-Notes
BaySMM
data-structures-algorithms-python
High-Resolution-Remote-Sensing-Semantic-Segmentation-PyTorch
yolort
evolutionary-computation-course
open-box
Mask-YOLO
TRE
MT-DNN
mt-dnn
hmtl
EasyRec
mtan
keras-mmoe
m3tl
Multi-Task-Learning-PyTorch
Multitask-Learning
pase
MKR
MMSA
UnifiedSKG
deep_recommenders
AutomaticWeightedLoss
PCGrad
LibMTL
PETR
EQTransformer
awesome-multi-task-learning
multi-task-learning
sluice-networks
maxl
PALM
lic2019-dureader2.0-rank2
MCN
Pytorch-PCGrad
Hydra
YOLOX
nlp-roadmap
BMW-Labeltool-Lite
neuralforecast
ITO
checklist
t5x_retrieval
reinforcement_learning_course_materials
YOLOv6
LinkedInt
parti-pytorch
sklearn-evaluation
sahi
diffusers
Practical-Deep-Learning-at-Scale-with-MLFlow
MLflow_End_to_End_Example
Machine-Learning-Roadmap
openscale_app
watson-openscale-samples
mlflow-demo
End2EndAutomaticSpeechRecognition
End2EndAutomaticSpeechRecognition
mlflow-examples
CyLP
PyTorch_image_classifier
seaborn-data
Multi-Modal-Transformer
Distributed-Machine-Learning-with-Python
PyNET
jax-models
mlem
2021-paper-ibd
ML-in-equity-prediction
minGPT
Cataract-Detection-and-Classification
ssd-tf2
LIDC-IDRI-Preprocessing
KAIR
KAIR
reproducible-image-denoising-state-of-the-art
Pytorch-UNet
Mathematics-for-ML
Transformers-Recipe
PyTorch-StudioGAN
similarity
IBM-Quantum-Spring-Challenge-2022
Awesome-Transformer-Attention
opencv-python
awesome-artificial-intelligence-guidelines
deep-spectral-segmentation
Forecasting-of-order-demand-in-warehouses-using-autoregressive-integrated-moving-average.
DID-MDN
qiskit-textbook
Super-mario-bros-PPO-pytorch
Super-mario-bros-A3C-pytorch
gym-super-mario-bros
quantum-fridays
nannyml
Transformers-for-NLP-2nd-Edition
selective-attn
flow-forecast
pyzbar
ML-Course-Notes
IDML
browser-ml-inference
acm-kdd-22-tutorial
sequential_sentence_classification
Samples2021
community
deep-rl-class
latent-diffusion
Thin-Plate-Spline-Motion-Model
metaseq
Barbershop
mlops-zoomcamp
ml-hierarchical-confusion-matrix
automate-ml-workflow
German-Professors-for-Computer-Vision
self_supervised
self_supervised
mobiledet-pytorch
DALLE2-pytorch
docker-cheat-sheet
Tools-for-Instagram
inshackle-bot
Python-for-Signal-Processing
Python-for-Probability-Statistics-and-Machine-Learning-2E
The-Kaggle-Book
roco-dataset
assets
Recommender
FocalsConv
SENet_Keras
geopandas
pytorch-vedai
helm
MLography
minGPT
vectorflow
PaddleSeg
gpt-code-clippy
awesome-knowledge-graph
maxim
lectures-labs
neutralizing-bias
dacite
Sklearn-genetic-opt
you2me
delta
AV-k8s-placement-app
Pose-Detection-Sitting-Standing
Machine-Learning-Tutorials
Advanced-Machine-Learning-Specialization
pystatsml
TF_JAX_tutorials
intro_continual_learning
vscode-python-manager
Awesome-Diffusion-Models
pygod
developer-roadmap
game-developer-roadmap
Neighborhood-Attention-Transformer
msn
CGMVQA
CoANet
compose
awesome-virtual-try-on
PerceptualSimilarity
optimum
gpt-neox
k-anonymity
writer
ML-Notebooks
OCGNN
SimMIM
cyclemoid-pytorch
CodeGen
hackingtool
AutoViz
DBPN-Pytorch
plant-disease-classification-tf
Diabetic-Retinopathy-Detection
MachineLearning-AI
BEVFormer
flax
CodeGen
metaheuristics
ML-For-Beginners
Data-Science-For-Beginners
explainable-cnn
PyTorrent
Dual-Path-RNN-Pytorch
stylegan3
poetry
timeshap
TensorFlow-Streamlit
retain
doctorai
Visual-Question-Answering-for-Medical-domain
Edge-Detection-OpenCV
OpenCV2_Learning
arx
Mondrian
realworldnlp
mle-hyperopt
GBRT-for-TSF
computervision-recipes
tencent-ml-images
Tutorial_Separation
HyperTransformer
TCTrack
machine-learning-for-software-engineers
flameshot
Image-formation-and-camera-calibration
py-irt
Malaria-Detection
aws-mindmap
VQA-Med-2019
MLOps-Specialization-Notes
statsforecast
External-Attention-pytorch
StatsAssume
deep-learning-workshop
awesome-NeRF
pytorch_GAN_zoo
aws-mindmap
orbit
PipelineDP
vectorhub
ludwig
autogluon
adanet
stylegan3-editing
anomalib
pytorch_cluster
stylegan2-ada-pytorch
mlops-practices
lkpy
NeROIC
imodels
handson-ml3
skits
torch2trt
data-engineering-zoomcamp
Quantus
Interesting-Works-2021
TranslationGAN
