termux-app
termux-x11
termux-boot
termux-docker
termux-packages
termux-api
termux-tasker
termux-widget
termux-styling
termux-tools
termux-language-server
proot
proot-distro
play-audio
libandroid-shmem
game-packages-21-bin
termux-api-package
termux-root-packages
termux-float
termux-exec
openjdk-mobile-termux
x11-packages
repology-metadata
termux-create-package
termux.github.io
termux-am-library
termux-gui
science-packages
termux-elf-cleaner
termux-apt-repo
game-packages
termux-services
tsu
termux-auth
command-not-found
TermuxAm
termux-packaging
libandroid-support
termux.com
termux-failsafe
upload-release-action
science-packages-21-bin
termux-root-packages-21-bin
getconf
termux-am-socket
wcwidth
glibc-packages
tergent
create-conventional-changelog
distfiles
whatprovides
rustls-native-certs
shared-library-testcase
