config_manager
templ.nvim
ocaml-engine
subd
vim9jit
scip-ocaml
remarca.ml
colorbuddy.nvim
vlog.nvim
express_line.nvim
gruvbuddy.nvim
rofl.nvim
lazy-require.nvim
leftpad.nvim
tree-sitter-lua
ocaml.nvim
sPoNGe-BoB.NvIm
train.nvim
nlua.nvim
readme.gg
stackmap.nvim
vim-inyoface
diff-therapy.nvim
cyclist.vim
thereactagen
tree-sitter-rsx
green_light.nvim
OhtML
Comment.nvim
petrol
syntax_objects.vim
tjdevries
overlength.vim
complextras.nvim
astronauta.nvim
vimterface.nvim
monkey.nvim
coc-zsh
advent_of_code
vim-be-good
nvim-oxi
mparse.nvim
tree-sitter-rapper
flutter-tools.nvim
neovim-plugin
packer.nvim
fold_search.vim
vimpoint
learn_your_vim
diagnostic-nvim
lsp-status.nvim
command_and_conquer.nvim
nvim-dap
neogit
tabline.nvim
nvim-lsp
manillua.nvim
simple-ocaml
apyrori.nvim
lookatme
nvim-langserver-shim
neovim
sgtest.repo
roleplay
conf.vim
standard.vim
telescope-hacks.nvim
edit_alternate.vim
test_repo_plz_ignore
qmk_firmware
sam.py
tree-sitter-sql
youtube_lua
rust-analyzer
nvim-mode
courses
syntect
Packages
smol_rust
vscode-remote-try-cpp
wip-lsif-spec
literally_empty
vim-dadbod-completion
nvim-cmp
py_package.nvim
cmp-nvim-lsp
cpython
nvim-treesitter
LuaSnip
tree-sitter-c
lsif-python-tmp
pastery.vim
llvm-project
lsif-clang-tmp
autoindex-generate
telescope-async-sorter-test.nvim
git-worktree.nvim
media.repo
nvim-biscuits
lspsaga.nvim
nsync.nvim
lua-host
gruvbox-tj
vim-vertex
streaming
descriptive_maps.vim
scripts_for_server
neovimpyter
fzy-lua-native
luvjob.nvim
talks
streamer.nvim
bandaid.nvim
dont-make-an-issue-on-this-repo
tjdevries.github.io
gitignore
vat.nvim
neovim-mode-fork
hifi.vim
vimwiki
putty.vim
plib.vim
colorpal.vim
node-client
neovim.github.io
nyaovim-popup-menu
vimwiki-theme
a_highlighter.nvim
denite.nvim
NamedStruct
githubapi-deoplete
deoplete.nvim
riv.vim
pyspace
easy_python_requirements
line_tracker
fi_re_planner
engr_325_parallelism_paper
vim-testify
unogame
quadcopter_interim
color-scheme-holokai-for-vim
py_sensor_display
nios_alarm_clock
cs_374_project
