hickop
riv.vim
log4j.vim
autumnleaf_modified.vim
sml_polyml.vim
fish-syntax
pysource.vim
gdbmgr
vim-brunch
GdbFromVim
PEGJS.vim
abc-vim
oh-l-l
sharefix
fisa-color-scheme
maven-ide
vim-django
tips.vim
shuffle.vim
Vitra
Difference-mode-color-settings
css3-mod
taggatron
multiwindow-source-code-browsing
EditPlus
python_fold_compact
OnSyntaxChange
cst
php-cs-fixer
cscope.vim
EscapeBchars
HgCi
sourcebeautify.vim
lint.vim
jshint.vim--Stelmach
gprof.vim
vmark.vim--Visual-Bookmarking
burnttoast256
Xdebug
highlights-for-radiologist
sonoma.vim
PyChimp
html_FileCompletion
Ubloh-Color-Scheme
lingodirector.vim--Pawlik
matchindent.vim
cmdpathup
lh-cpp
search-in-runtime
lh-brackets
license-loader
_jsbeautify
vtimer.vim
mathematic.vim
nosyntaxwords
DBGPavim
jsflakes
jsflakes.vim
jsoncodecs.vim
TimeTap
PHPUnit-QF
Transpose
vim-mou
maven-plugin
jsruntime.vim
london.vim
AmbiCompletion
RbREPL.vim
neocomplcache-snippets_complete
Ideone.vim
VDBI.vim
Fortune-vimtips
evervim
vim-dasm
bestfriend.vim
ucpp-vim-syntax
modx
SAS-Indent
vim4rally
muxmate
rstatusline
vim-cpp-auto-include
a-new-txt2tags-syntax
vim-addon-ruby-debug-ide
vim-htmldjango_omnicomplete
Splice
DBGp-X-client
vim-addon-rdebug
autolink
SpaceBetween
restore_view.vim
flipwords.vim
WebAPI.vim
clean_imports
galaxy.vim
colorv.vim
less-syntax
SAS-Syntax
python-imports.vim
youdao.dict
Vim-Gromacs
vimux
Vimpy--Stoner
readnovel
Vitality
XDebug-DBGp-client-for-PHP
close-duplicate-tabs
StripWhiteSpaces
vim-jsbeautify
vim-python-imports
HyperList
TextTransform
dosbatch_movement
vbs_movement
vim_movement
Clam
Ayumi
paredit.vim
spacebox.vim
portmon
vroom
instant-markdown.vim
gitvimrc.vim
Sauce
ConflictMotions
TaskMotions
phpqa
vim-pomodoro
cudajinja.vim
Finder-for-vim
diff-toggle
regexroute.vim
mediawiki.vim
source.vim
JumpToTrailingWhitespace
DeleteTrailingWhitespace
ShowTrailingWhitespace
color_highlight
css3-syntax-plus
vim-human-dates
vim-addon-commenting
showmarks2
DynamicSigns
less
hammer.vim
flashdevelop.vim
tabman.vim
workflowish
mystatusinfo.vim
fwk-notes
Add-to-Word-Search
tortex
Improved-paragraph-motion
tmpclip.vim
EasyColour
pyunit.vim
Skittles-Berry
hop-language-syntax-highlight
fountainwiki.vim
Yii-API-manual-for-Vim
pdv-standalone
sandbox_hg
CodeCommenter
writebackupAutomator
ipyqtmacvim.vim
Trailer-Trash
vim-wmfs
Coverity-compiler-plugin
thinkpad.vim
editorconfig-vim
argumentative.vim
murphi.vim
Vim-Support
jbi.vim
badwolf
phpcs.vim
vim-flake8
lout.vim
ditaa
flymaker
taskmanagementvim
Gummybears
TagmaLast
WhiteWash
pfldap.vim
cd-hook
tagport
vim-addon-haskell
CamelCaseComplete
CompleteHelper
CapsulaPigmentorum.vim
toggle_comment
vim-punto-switcher
gmlua.vim
e2.lua
mozjs.vim
mozpp.vim
ocamlMultiAnnot
vombato-colorscheme
nsl.vim
xsnippet
compot
coffee-check.vim
indentjava.vim
gtk-mode
pwdstatus.vim
buffet.vim
rhinestones
Limbo-syntax
gf-diff
gf-user
simple-dark
switch-buffer-quickly
qtpy.vim
Independence
textobj-line
DfrankUtil
EasyDigraph.vim
fountain.vim
ambicmd.vim
nerdtree-ack
git-diff
html-xml-tag-matcher
turbux.vim
vimprj
quit-another-window
gtrans.vim
Enhanced-Javascript-syntax
vimgcwsyntax
Windows-PowerShell-Syntax-Plugin
SmartusLine
vm.vim
lightdiff
gtags-multiwindow-browsing
dsa
phidgets.vim
behat.zip
Eddie.vim
epegzz.vim
grads.vim
Lawrencium
shelp
Xoria256m
rmvim
Word-Fuzzy-Completion
tocdown
ide
unite-scriptenames
dokuwiki
Festoon
Mark-Ring
boolpat.vim
git-time-lapse
visualrepeat
cue.vim
lrc.vim
SpellCheck
nodeunit.vim
nose.vim
vim-django-support
vim-python-virtualenv
weibo.vim
nscripter.vim
ChickenSetupXp
ChickenMetaXp
vim-octopress
yankstack
TVO--The-Vim-Outliner-with-asciidoc-supp
SchemeXp
LastBuf.vim
better-snipmate-snippet
inline_edit.vim
aurum
modeleasy-vim-plugin
simple_bookmarks.vim
