torvalds
yyx990803
gaearon
ruanyf
gustavoguanabara
peng-zhihui
openai
bradtraversy
JakeWharton
sindresorhus
karpathy
microsoft
tj
rafaballerini
getify
addyosmani
geohot
llSourcell
michaelliao
google
wesbos
github
kentcdodds
paulirish
filipedeschamps
ry
kamranahmedse
taylorotwell
TheAlgorithms
diego3g
iamshaunjp
kennethreitz
benawad
StephenGrider
WebDevSimplified
buckyroberts
3b1b
antfu
kunal-kushwaha
dmalan
hadley
huggingface
daimajia
EpicGames
mojombo
sdras
mdo
krishnaik06
mbostock
mrdoob
lucidrains
defunkt
ThePrimeagen
tiangolo
douglascrockford
kelseyhightower
gvanrossum
gamemann
MrXyfir
jwasham
JacksonTian
jonasschmedtmann
AYIDouble
MorvanZhou
keijiro
mitsuhiko
programthink
adrianhajdin
antirez
