r4ds
mastering-shiny
r-internals
stats337
r-pkgs
s7bugreport
htmlbook
ggplot2-book
stringb
strict
emo
vis-eda
adv-r
irods_client_library_rirods
data-baby-names
reshape
skimr
happign
chequer
hadleynz
cubelyr
neiss
minby
shinySignals
httptest2
purrrlyr
mlr3db
data-movies
usdanutrients
ggstat
recipes
cran-downloads
babynames
plyr
l1tf
mark
gnm
testcoverage
tidy-data
available-work
S7issue333
cocktails
crantastic
lineprof
profr
assertthat
data-gbd
postcards
requirements
joy-of-fp
lazyeval
pryr
monthApp
FlowDataPull
databricks-sdk-r
RcppDateTime
gg2v
monads
renvdep
hadley.github.com
bigvis
hadladdin
tidytable
polyglot
pkgdowncrosslinks
potools
metafor
rex
khroma
crosstable
classifly
meifly
hadcol
tidyverse-booster
tidy-tools
s3method
SDraw
raster
param6
term
TreeTools
ichimoku
rFIA
mylittlepony
proto
freshr
baseballr
hockeyR
tidytext
codebook
simpr
DataFakeR
DataFakeR-1
openxlsx2
fueleconomy
mlr3
tidycore
rigraph
geos
productplots
r-python
sfhousing
adaptr
mturkr
r2d3
canaper
metacore
data-fuel-economy
boxplots-paper
secure
gcplyr
extras
lvplot
tukeyGH
helpr
s2
precis
rv2
epikit
catfda
pknca
suddengains
roxygen2
test4
test3
testtest
test
audubon
building-permits
repurrrsive
code-review
15-state-of-the-union
ijtiff
bignum
flair
naniar
circumplex
bcdata
gtreg
crosstalkr
highlight
apyramid
eggnogr
gtsummary
halloween-scavenger-hunt
skater
tidyjson
rearrr
csvwr
ipmr
xpose
yrbss
tidywikidatar-1
zipangu
healthcareai-r
psychmeta
tardis
nestedmodels
GetLattesData
psfmi
LightGBM
admiral
inti
log4r
ffscrapr
broom.helpers
PHEindicatormethods
dumbbell
arrow
srvyr
ssdtools
gghighlight
scagnostics
targets
ggalluvial
r2dii.analysis
r2dii.plot
multinma
wakefield
allhomes
edibble
tsibble
namedropR
plantTracker
cspp
gginnards
cubble
supernova
taylor
grizbayr
bdpar
tidyverse-iceland
gwasrapidd
postpack
tidycmprsk
r-on-github
crispRdesignR
tidyfst
validatedb
dcmodifydb
ggip
itraxR
galah
WeMix
sketch
outstanding-shiny-ui
eHDPrep
strex
tidy-errors
flexsurv-dev
covidcast
huito
NEONiso
tidyft
kittens
partialised
ir
jpmesh
simplystats
rminds
froofilicious
cvCovEst
decumar
mpwR
SomePackage
tidywikidatar
autostats
r2dii.match
ggbio
dibble
duckdb
ruta
gmgm
bumbl
stevemisc
presenter
quarto-web
ggplot2-bayarea
spectralR
sbm
Frustration-One-Year-With-R
brolgar
failrmd
data-housing-crisis
r-iterator-ideas
cran-packages
rsmith
forestmangr
rheroicons
statnipokladna
utile.tools
respR
ggplot1
glmmPen
cheese
data-counties
repr
beautiful-data
RCLabels
word-predictor
grouperise
scrutiny
JumpeR
scImmuneGraph
SynthCast
test-pins
cmcR
SwimmeR
iNZightTools
table-shapes
hlaR
rATTAINS
GWPR.light
partition
herndon-ash-pollin
rencfaq
helda
vegawidget
localmds
vis-migration
densityvis
mexico-mortality
fortify
reactive-docs
data.table
docs
advisories
clusterfly
AzureStor
tanglekit
roxygen3
cattonum
nasaweather
maplight-data
duawranglr
spatialVis
batata
ggplot2movies
fec-dplyr
mutatr
ideas
mind-the-gap
docker
warncpp
15-student-papers
rastermap
oldbookdown
hflights
packman
imvisoned
lvplot-paper
vita
distpower
legends
layers
bench
prodplotpaper
pop-flows
sinartra
stat405-practice
toc-vis
mutatrGui
stat405-resources
qtpaint-demos
weeder
cran-logs-dplyr
cranatics
bizarro
bigvis-infovis
rifftron
strptimer
linval
rfmt2
weight-and-see
hclpicker
simpleS4
data-stride
