SILENTTRINITY
DeathStar
CrackMapExec
MITMf
SprayingToolkit
OffensiveNim
dnschef-ng
CME-PowerShell-Scripts
WitnessMe
PrivExchange
ItWasAllADream
pth-toolkit
OffensiveDLR
NimDllSideload
pyMalleableC2
webview_d3
BOF-Nim
SpamChannel
Red-Baron
AnsiblePlaybooks
sslstrip2
MITMf-opt-plugins
cmd2powershell
shellcode_retriever
Invoke-AutoIt
gcat
tmux-config
Naga
duckhunter
cookiecutter-pypackage
PoshBot
arpspoof
chrome-decrypter
byt3bl33d3r
Slides
jamaal-re-tools
byt3bl33d3r.github.io
wifi-graper
DHCPShock
smbmap
nuclei-templates
BloodHound-Tools
BeEF-API
java-deserialization-exploits
CobaltStrike-ToolKit
PowerSploit
ldapdomaindump
python-Wappalyzer
Seatbelt
Awesome-Profile-README-templates
herpaderping
UhOh365
log4j-scan
externalip
msldap
Utinni
SponsorMonitor
MemeGenerator
toby
Kaliya
BOF-Zig
zippy
sergio-proxy
pyobfuscate
pythoncookie
tailscalesd
dnsx
Empire
conky-r3d
hookme
PSBits
pyemailprotectionslib
pyppeteer
winim
LocoCrack
itm4n
sofi
conky-gr33n
