ry
tj
rwaldron
BrendanEich
soundanalogous
moxie0
torvalds
ashleygwilliams
gvanrossum
ahejlsberg
frontendchile
ushieru
GeraAlcantara
FaztWeb
sudo-dante
AndrewAC21
