Cyberonix
Anime-Girls-Holding-Programming-Books
Microsoft-Activation-Scripts
awesome-remote-job
rEFInd-glassy
rEFInd-minimal
winutil
devops-tools
awesome-malware-development
Responder
frontend-case-studies
osint-brazuca
seeker
toutatis
awesome-javascript-learning
BabySploit
blackhat-arsenal-tools
awesome-roadmaps
awesome-cheatsheets
awesome-piracy
recursosfrontend
gmapsapiscanner
BruteShark
Awesome-WAF
httpstatus
security-study-plan
cyber-security-roadmap
BlueTeam-Tools
Pingoor
blackhat-python3
Sudomy
BuzzMail
smuggler
Certifications-Guide
learn-go-with-tests
TripleCross
Photon
graphql-threat-matrix
programming-challenges
OffensiveRust
Villain
Spoofy
sippts
awesome-flipperzero
cameradar
APKHunt
Vailyn
Cloud-Security-Attacks
API-Security-Checklist
merlin
linux_kernel_hacking
Binary-exploit-writeups
python-for-hackers
rustpad
hackingthe.cloud
GAP-Burp-Extension
waymore
xnLinkFinder
x8
param-miner
gau
httpmock
CVWA
cloudflare-bypass
hsecscan
crawlergo
upload-scanner
cli
Apktool
cosmopolitan
rita
gato
DevSecOps-MaturityModel
DesenvolvimentoSeguro
linux-exploit-suggester-2
Linux_kernel_exploits
kernel-exploits
WindowsExploitationResources
WindowsExploits
Windows
HackBrowserData
TheFatRat
ImHex
secure-mobile-development
lunar-unity-console
book
CrossApp
ring
awesome-mobile-web-development
AppDevKit
boden
renative
XamarinCommunityToolkit
apollo-universal-starter-kit
react-native-starter
amplify-cli
article
organicmaps
nuclide
laptop
OnsenUI
Perfect
Skeleton
Red_Team
The-Hackers-Hardware-Toolkit
Checklists
Mythic
RedEye
red_team_tool_countermeasures
P4wnP1_aloa
RedTeaming-Tactics-and-Techniques
RedTeam-Tools
Covenant
Red-Team-Infrastructure-Wiki
atomic-red-team
nishang
hiring-without-whiteboards
security-cheatsheets
Computer-Science-Resources
How-To-Secure-A-Linux-Server
labs
iCSS
magicCss
CSS-Inspiration
OWASP-Web-Checklist
the-art-of-command-line
Andromeda
Agar.io-Reverse-Engineering
exrs
scripts_for_RE
shuji
game-hacking
pbtk
pwnshop
reblog
Mastering-Reverse-Engineering
android-scripts
tuts
app2dylib
Awesome-Malware-and-Reverse-Engineering
REsources
YouTube.js
HookCase
Doldrums
Reverse-Engineering-Arsenal
REpsych
Reverse-Engineering-Tutorials
radare2-tutorial
retroReversing
Wallbreaker
rizin
pokemon-reverse-engineering-tools
eresi
swiftshield
osx-re-101
dustcloud
flyover-reverse-engineering
dji_rev
AndroidReverseEngineering
bytecode-viewer
CAN_Reverse_Engineering
ngrev
wireless-carplay-dongle-reverse-engineering
netzob
linux-re-101
Il2CppInspector
paimei
gdsdecomp
PINCE
androidre
PowerShellArsenal
RE-for-beginners
Malware-analysis-and-Reverse-engineering
InsideReCaptcha
x64dbg
AndroidAppRE
cutter
iOSRE
kahoot-hack
earth-reverse-engineering
corona
androguard
miasm
Z0FCourse_ReverseEngineering
Reverse-Engineering
reverse-engineering
pwntools
CTF
Web-CTF-Cheatsheet
google-ctf
ctf
ctf-wiki
ctf-tools
PayloadsAllTheThings
CTFd
DeFi-Security-Summit-Stanford
ctfscoreboard
hand_detection
multi-juicer
CTF-Solutions
CTF-tool
CTF-Writeups
stripe-ctf-2.0
juice-shop-ctf
CTF-writeups-public
caronte
ble_ctf
blocksec-ctfs
fbctf
Bug_Bounty_writeups
public-bugbounty-programs
Bug-Bounty-Wordlists
BugBountyToolkit
diodb
Bug-bounty
Galaxy-Bugbounty-Checklist
HolyTips
Bug-Bounty-Roadmaps
BurpSuite-For-Pentester
BBTz
KingOfBugBountyTips
keyhacks
AllAboutBugBounty
bugbounty-cheatsheet
Resources-for-Beginner-Bug-Bounty-Hunters
awesome-google-vrp-writeups
Bug-Bounty
awesome-bugbounty-builder
awesome-oneliner-bugbounty
Awesome-Bugbounty-Writeups
awesome-bugbounty-tools
bug-bounty-reference
top-github-users
cheatsheets
spark-joy
chrome-extensions
Awesome-Chrome-Extensions
awesome-react-components
daily
remote-jobs
vagas
vagas
jobs
vagas
vagas
vagas-java
me-contrata
public-apis
public-api-lists
googleapis
graphql-apis
Public-APIs
portfolio-ideas
pokedex
FrontEndCollection
design-resources-for-developers
tech-interview-handbook
front-end-interview-handbook
coding-interview-university
realworld
simpl
WebFundamentals
spellbook-of-modern-webdev
developer-handbook
JavaScript30
Web-Dev-For-Beginners
how-web-works
CTF-Bandit
OSCP-Exam-Report-Template-Markdown
wafw00f
chess95
devops-exercises
PokeSaan
awesome-web-security
iptv
curso-docker
hacktricks
TryHackMe-Write-Up
TryHackMe-CTF-Writeups
HackTheBoxWriteups
Name-That-Hash
hackthebox
HackTheBox-CTF-Writeups
hackthebox-writeups
PenTesting-Scripts
mongoaudit
Xerror
monkey
hacktronian
arno
SocialBox-Termux
maskphish
PoC-in-GitHub
Mobile-Security-Framework-MobSF
mentalist
SSRFire
fuxploider
WEF
XSS-Payload
DDoS-Ripper
discord-keylogger
awesome-hacker-search-engines
Ethical-Hacking-Tools
pupy
awesome-game-security
blackbird
TTWAF
zphisher
Cam-Hackers
BugBountyTricks
Keylogger-email
GitTools
NtHiM
Credential-Dumping
digital-forensics-lab
bhedak
pystemon
PowerShell-Red-Team
jwt-hack
serenity
GooFuzz
tew
chisel
Pinkerton
cheat.sh
lastwhisper
pwnkit
horusec
h8mail
bfac
medusa
SecUtils
eyeballer
cloudsploit
WSOB
simple-persistor
dexcalibur
p12tool
BITB
puredns
DiscordAnonymity
splitter
burp-log4shell
spotify-downloader
Aline
31-days-of-API-Security-Tips
fake_png
ipatool
static-binaries
tor-rootkit
ipsourcebypass
Certipy
cwe_checker
CarbonCopy
can-i-take-over-xyz
cent
botb
username-anarchy
enumerate-iam
ppmap
interactsh
scrcpy
Ghost-In-The-Logs
apekar
essence
tomcter
IDAShell
pwnbox-postinstall
dnsteal
lotion
kitty
Gitter
gron
naabu
Sitadel
bat
extensions-wordlist
Search-That-Hash
bbht
ParamSpider
tangalanga
AutoRDPwn
kiterunner
medusa
feroxbuster
ScoutSuite
juumla
kxss
CVE-2021-3156
webshell
turbo-intruder
PEzor
flagag
IoTGoat
SprayingToolkit
enum4linux-ng
GTFONow
SendScriptWhatsApp
sherlock
pugrecon
R3vSh3ll3r
deepce
GenericPotato
RMS-Runtime-Mobile-Security
APKLab
shadow-workers
evil-winrm
jaeles
esp8266_deauther
HowToHunt
assetfinder
stegbrute
TheHive
katoolin
rengine
byob
empire
XSStrike
browser-pwn
alacritty
fastssh
Gopherus
hetty
RustScan
nuclei
httpx
subfinder
pacu
volatility
git-dumper
gobuster
objection
frida
dirsearch
tabby
awesome-api-security
awesome-linux-rootkits
awesome-browser-exploit
awesome-awesomeness
python-pentest-tools
routersploit
commix
beef
pentest-wiki
awesome-yara
Awesome-Advanced-Windows-Exploitation-References
awesome-web-hacking
Awesome-Vulnerability-Research
awesome-vehicle-security
awesome-threat-intelligence
h4cker
static-analysis
awesome-social-engineering
awesome-serverless-security
SecLists
awesome-sec-talks
awesome-rl-for-cybersecurity
awesome-reversing
awesome-php
awesome-pcaptools
osx-and-ios-security-awesome
Awesome-Mainframe-Hacking
awesome-iot-hacks
awesome-infosec
awesome-industrial-control-system-security
Awesome-Hacking-Resources
Awesome-Fuzzing
awesome-exploit-development
awesome-embedded-and-iot-security
awesome-cyber-skills
awesome-devsecops
awesome-ctf
capsulecorp-pentest
awesome-bug-bounty
Awesome-Asset-Discovery
awesome-appsec
android-security-awesome
ferramentas_pentest
SlackPirate
PPLKiller
TeamFiltration
ttyd
evilginx2
phishing_catcher
awesome-forensicstools
theHarvester
wpscan
phoneinfoga
wfuzz
a2sv
KnockMail
RED_HAWK
Sn1per
trufflehog
python-scripts
Awesome-Hardware-and-IoT-Hacking
Awesome-Blue-Team-Operations
Blue-Team-Cheat-Sheets
MalwLess
adversarial-robustness-toolbox
DefaultCreds-cheat-sheet
blue-team-wiki
awesome-cybersecurity-blueteam
Stormspotter
red-team
RedTeam-Physical-Tools
RedGuard
RedTeam-Pentest-Cheatsheets
redsnarf
Awesome-RedTeam-Cheatsheet
A-Red-Teamer-diaries
RedELK
Penetration-Testing-Tools
RedTeam_toolkit
red-team-scripts
RedTeam-OffensiveSecurity
Shr3dKit
HackTools
Red-Teaming-Toolkit
MalwareSourceCode
pentest-tools
awesome-hacking
PENTESTING-BIBLE
awesome-ruby
awesome-readme
awesome-macOS
awesome-graphql
awesome-pentest
awesome-docker
awesome-macos-command-line
awesome-flutter
awesome-nodejs
awesome-go
awesome-mobile-security
awesome-shell
awesome-python
awesome-tor
awesome-darknet
awesome-privacy
awesome-security
Awesome-Red-Teaming
awesome-malware-analysis
awesome-incident-response
awesome-honeypots
personal-security-checklist
hacking-roadmap
be-a-hacker
Ultimate-Hacker-Roadmap
guia-basico-javascript
guiadefirebird
guiadedjango
guiadewindows
guiadeword
guiadeexcel
guiadepowerpoint
guiadeazure
guiadeaws
guiadegooglecloud
guiadewindowsserver
guiadelinux
guiadelaravel
guiadeandroid
guiadenest
guiadekubernetes
guiadekotlin
guiadedocker
guiadeflutter
guiadeswift
guiadewordpress
guiadebootstrap
guiadegit
guiadegithub
guiadegitlab
guiadegraphql
guiadesass
guiadedelphi
guiademacos
guiadepostgresql
guiadesqlserver
guiadecassandra
guiademysql
guiademariadb
guiadeansible
guiadejquery
guiadeyarn
guiademongodb
guiadespring
guiadeterraform
guiadegolang
guiadematerialize
guiadearduino
guiaderaspberry
guiadegulp
guiadenuxt
guiadeelectron
guiaderedux
guiaderuby
guiadevmware
guiadeflask
guiadebash
guiadepowershell
guiadekafka
guiadescala
guiadefirebase
guiadelivewire
guiadevuex
guiadesvelte
guiadejenkins
guiadecomposer
guiadenpm
guiadetensorflow
guiader
guiadehadoop
guiadegrunt
guiadebower
guiadeapache
guiadetomcat
guiadenomad
guiademaven
guiadenginx
guiadepontonet
guiadegraylog
guiaderedis
guiadesap
guiadeunity
guiadeipv6
guiadeinsomnia
guiadecucumber
guiadeistio
guiadeselenium
guiadepostman
guiadecypress
guiadezabbix
guiadehibernate
guiadeopenstack
guiadeheroku
guiadecordova
guiadeprometheus
guiadeadonis
guiadejira
guiadecodeigniter
guiadeionic
guiadepacker
guiadeconsul
guiadeelixir
guiadexamarin
guiadeappium
guiadeclojure
guiadegrafana
guiadewebpack
guiadevagrant
guiadewicket
guiadezurb
guiadelua
guiadeassembly
guiadereact
guiadecss
guiadecsharp
guiadedart
guiadecmaismais
guiadec
guiadehtml
guiadejava
guiadepython
guiadeangular
guiadevue
guiadenext
guiadenode
guiadetypescript
guiadejavascript
guiadeuxui
guiadecertificacoes
guiadelgpd
guiadelogica
guiadeiot
guiadeinteligencia
guiadeinfraestrutura
guiadoarquiteto
guiadeeletronica
guiadodevops
guiadedeeplearning
guiadecloud
guiadecienciadedados
guiadecarreira
guiadebusinessintelligence
guiadebigdata
guiadebancodedados
guiadealgoritmos
guiadoqa
guiadosuporte
guiaderedes
guiadoandroid
guiadomobile
guiadepoo
guiadoios
guiadofullstack
guiadeferramentas
guiadecybersecurity
guia-ackercode
github-profile-achievements
mentoria-typescript
typescript-book
sidebar-menu-submenus
aprenda-swift
gatsby-starter-theme-antv
smooth-doc
gatsby-pt-BR
apidoc
progressbar
API-Documentation-HTML-Template
swagger-codegen
The-Documentation-Compendium
matematica-para-programadores
You-Dont-Know-JS
exercicios-javascript
strapi
iris
relay-starter-kit
gqless
hoppscotch
gatsby
graphql-tools
graphql-voyager
mnemosine-api
GraphQL-Fundamentos
poc-graphql
GraphQL
microservices-node-graphql-react
example-kotlin-springboot-graphql
karate-graphql
pc-carroca
graphql-markdown
graphiql
docs
graphql-docs
graphql-playground
graphdoc
graphql-pokemon
graphql-pokemon
graphql-js
aws-dynamodb-examples
dynamodb
youtube-serie-graphql
traduz-ai
guiapessoal
guiadobackend
comunidades-TI
myCrypto_MercadoBitcoin
books
estudosBR
flexblog
50projects50days
Clone-Wars
discord.js
hackingtool
vagas
guiadofrontend
Awesome-Hacking
readme-typing-svg
TypeScript-Para-Brasileiros
estudos
cs-video-courses
4noobs
frontend-tools
readme-template
marvel-explorer
vscode-simple-readme
guiadevbrasil
PendriveHacker-Scripts
free-programming-books
arthurspk
GitTutorial
gitfolio
github-profile-readme-generator
project-guidelines
30-seconds-of-code
