valentinewaifu
ransomware-simulator
go-revshell
log4shell-rex
asgard-playbooks
LiquidSnake
CobaltSpam
MicrosoftWontFixList
patrolaroid
BeaconHunter
go-audit
opensnitch
panopticon
InfoSec-Black-Friday
nuclei-templates
macam64
xioc
ibombshell
WMImplant
MaliciousMacroGenerator
PurpleSpray
spoofing-office-macro
Meerkat
car
Manalyze
Security-Datasets
velociraptor
VirusTotalApi
Revoke-Obfuscation
iocs
attack-evals
hollows_hunter
OSSEM
Sigma2SplunkAlert
git-secrets
dnYara
SigmaFilterCheck
emotet_research
pe-sieve
htrace.sh
build-your-own-x
atomic-threat-coverage
bingrep
DivertTCPconn
plyara
timebox
Hash-Buster
audisp-simple
rita
binsequencer
pylnker
SharpShooter
pm-theme
LuLu
Invoke-DOSfuscation
PowerGRR
klara
winnti-detector
winnti-suricata-lua
winnti-nmap-script
go-elasticsearch
go-autoruns
ObfuscatedEmpire
CVE-2017-8759-Exploit-sample
yabin
Loki
pfFocus
binaryalert
pefile-go
malice
WMI_Persistence
sigma
binarly-query
Ebowla
netzob
certitude
EQUEL
yara-exporter
Invoke-Obfuscation
avet
awesome-windows-domain-hardening
mimikatz
RottenPotato
python-icap-yara
morpheus
pentest-bookmarks
Inveigh
MacPass
visualize_logs
PSAttack
IRNotes
DAMM
WebShell
color
MacroShop
binarly-sdk
dnsdb
testssl.sh-webfrontend
Windows-Exploit-Suggester
tinyca2
exe2hex
PowerShell_IPv4NetworkScanner
pyinstaller
Fastir_Collector
pe.js
HTA-Exploit-
sdbScanner
Shim-Process-Scanner-Lite
Burp-SessionAuthTool
zmap
peframe
requests
ttystudio
naive-bayes-classifier
glastopf
rules
YaraPcap
RATDecoders
go-fuzz
smbmap
Random_Code
patator
go-yara
cmder
cuckoo
php-webshells
APTnotes
yarGen
webshell
ShimCacheParser
shellbags
python-evtx
python-registry
yara
