hadley
rdpeng
jjallaire
jcheng5
karthik
vsbuffalo
yihui
lmullen
jimhester
jeroen
cboettig
sjackman
jeffreyhorner
craigcitro
jmcphers
sckott
rickwcan
cubranic
gaborcsardi
eddelbuettel
timelyportfolio
gmbecker
mmaechler
emhart
hilaryparker
christophergandrud
cpsievert
jtleek
stewid
dmurdoch
kevinushey
wrathematics
leeper
lionel-
mine-cetinkaya-rundel
nicolewhite
jennybryan
