torvalds
yyx990803
gaearon
ruanyf
gustavoguanabara
peng-zhihui
openai
bradtraversy
JakeWharton
sindresorhus
karpathy
microsoft
tj
rafaballerini
getify
addyosmani
geohot
llSourcell
michaelliao
google
wesbos
github
kentcdodds
paulirish
filipedeschamps
ry
kamranahmedse
taylorotwell
TheAlgorithms
diego3g
iamshaunjp
kennethreitz
benawad
StephenGrider
WebDevSimplified
buckyroberts
3b1b
antfu
kunal-kushwaha
dmalan
hadley
huggingface
daimajia
EpicGames
mojombo
sdras
mdo
krishnaik06
mbostock
mrdoob
lucidrains
defunkt
ThePrimeagen
tiangolo
douglascrockford
kelseyhightower
gvanrossum
gamemann
jwasham
MrXyfir
JacksonTian
jonasschmedtmann
AYIDouble
MorvanZhou
keijiro
mitsuhiko
programthink
adrianhajdin
antirez
tpope
cloudwu
phodal
developedbyed
donnemartin
codediodeio
facebook
techwithtim
freeCodeCamp
shiffman
dhh
mli
rasbt
geerlingguy
midudev
metatimeofficial
chrisbanes
jeresig
facebookresearch
john-smilga
SebLague
python
vczh
mattt
loiane
Trinea
Rich-Harris
ProgrammingHero1
brunosimon
jakevdp
clowwindy
justjavac
halfrost
apple
ReVanced
jadijadi
angelabauer
jlord
stormzhang
mouredev
lifesinger
xiaolai
codingforentrepreneurs
JeffreyWay
trekhleb
fchollet
esin
johnpapa
LeaVerou
onevcat
CodeWithHarry
Ovilia
astaxie
liyupi
maykbrito
RubyLouvre
jackfrued
BEPb
Asabeneh
spf13
PremChapagain
CyC2018
josevalim
cumsoft
taniarascia
isaacs
unknwon
feross
sorrycc
goodfeli
kubowania
wesm
yinwang0
rauchg
bailicangdu
sandhikagalih
ahejlsberg
in28minutes
peter-kimanzi
chiphuyen
breakwa11
jashkenas
ageron
unclebob
acdlite
fabpot
schacon
vuejs
Code-Bullet
hongyangAndroid
kenjinote
gopinav
fengdu78
jessfraz
flutter
florinpop17
draveness
PanJiaChen
angusshire
Visualize-ML
BYVoid
DIYgod
cassidoo
haoel
laruence
developit
hakimel
brianyu28
ibireme
KaimingHe
miguelgrinberg
mitchellh
vercel
iconfont-cn
CoreyMSchafer
abuanwar072
KalleHallden
egoist
mathiasbynens
rakyll
twitter
tensorflow
soumith
alibaba
btholt
anuraghazra
bradfitz
agentzh
davidfowl
vbuterin
dotnet
mattn
evanw
Klerith
octocat
dsacademybr
fouber
community
tqchen
muan
adamwathan
iampawan
YunaiV
mosh-hamedani
mqyqingfeng
lydiahallie
shanselman
AUTOMATIC1111
LukeSmithxyz
tomnomnom
jakearchibald
chriscoyier
acenelio
ForrestKnight
bvaughn
zenorocha
android
romannurik
QianMo
necolas
sofish
kevin-powell
amueller
samyk
atilsamancioglu
offensive-security
miloyip
ggerganov
chenshuo
cs50
hiteshchoudhary
benbalter
wycats
Kwynto
apache
leerob
TheCherno
tannerlinsley
jonhoo
nodejs
nzakas
Snailclimb
JohnHammond
robpike
romainguy
mnielsen
engindemirog
eugenp
bedimcode
CoderMJLee
aneagoie
sophiebits
mgechev
skydoves
Sentdex
toddmotto
ustbhuangyi
matz
yangshun
craftzdog
haileys
htr-tech
jvns
jhaddix
pjreddie
wintercn
AllenDowney
Pierian-Data
matheusbattisti
dennybritz
philipplackner
tenderlove
alex
twbs
PacktPublishing
Elfocrash
nicknochnack
wasabeef
colah
teteusAraujo
easychen
AlexTheAnalyst
rsc
ryanflorence
akitaonrails
typicode
ErickWendel
dyc87112
wizardforcel
munificent
CleverProgrammer
shiftkey
yihui
i5ting
joshlong
jcjohnson
Jack-Cherish
BurntSushi
listen1
arthurspk
bot50
lattner
sokra
ityouknow
professorguanabara
norvig
jaredpalmer
spring-projects
igrigorik
bojone
lepture
fat
macrozheng
jamiebuilds
MisterBooo
ChenYilong
aws-samples
DevonCrawford
mcollina
alineai18
clementmihailescu
carpedm20
audreyt
ethereum
Visual-Studio-Code
GoesToEleven
liaohuqiu
ghost
sebmarkbage
ai
hkirat
topjohnwu
pjhyett
Fndroid
996icu
rwieruch
noob-hackers
jordwalke
bchiang7
f
521xueweihan
termux
PatrickAlphaC
fatih
abhishekkrthakur
Stability-AI
koush
rust-lang
daneden
simplesteph
fengmk2
lexfridman
mercyblitz
justmarkham
s0md3v
cusspvz
rengwuxian
drakeet
OneLoneCoder
felangel
amigoscode
hmaverickadams
rovo89
chokcoco
Colt
BilgisayarKavramlari
stefanprodan
cyanharlow
eddiejaoude
mdn
ahmetb
2dust
Fuelet
scroll-tech
ryanb
ardalis
lucasmontano
knadh
jamesmontemagno
aplus-developer
remy
amitshekhariitbhu
springframeworkguru
hwchase17
ElzeroWebSchool
DeborahK
liuyubobobo
open-mmlab
brendangregg
Germey
bubbliiiing
shadcn
