Code-used-on-Daniel-Lemire-s-blog
jswebsocket_bench
fastbase64
FrameOfReference
TypedFastBitSet.js
testingmlp
despacer
fastmod
simdcomp
docker_programming_station
fast_double_parser
fastscancount
multiplatform_simd_recipes
simdprune
fastrange
clhash
streamvbyte
FastBitSet.js
lbimproved
EWAHBoolArray
FastPFor
testingRNG
FastPriorityQueue.js
JavaFastPFOR
node
simdpcg
cbitset
javaewah
LittleIntPacker
FastShuffleExperiments
viewsizeestimation
talks
SIMDCompressionAndIntersection
externalsortinginjava
RoaringBitmap
fast_division
hugo-academic
js-file-loading-benchmark
SIMDxorshift
simple_fastfloat_benchmark
fast_float
CPM.cmake
simdjson_performance_demo
bloofi
PiecewiseLinearTimeSeriesApproximation
fastrand
BitSliceIndex
c-tokenizer
SwiftCallingCHeader
FastDifferentialCoding
SwiftBitset
SwiftWyhashBenchmark
SIMDgameoflife
fastvalidate-utf-8
rollinghashcpp
dictionary
runningmaxmin
csharpewah
MaskedVByte
jsoniter-scala
CRoaringUnityBuild
rollinghashjava
validateutf8-experiments
cuda_demo
crackingxoroshiro128plus
QuickSelect.js
SwiftWyhash
vectorclass
OpenVR-Dynamic-Resolution
drogon
StarSchemaBenchmark
datasciencebook
FastIntegerCompression.js
unicode_lipsum
simdutf
simdzone
StronglyUniversalStringHashing
MonotoneSegment
the-algorithm-ml
roaring-zig
ComputerLanguageBenchmark
constantdivisionbenchmarks
programmingishard
can_ada
ada
microbenchmarks
CMemoryUsage
StablePriorityQueue.js
SIMDIntersections
cysimdjson-memory-leak
cysimdjson
pyxorfilter
PyRoaringBitMap
fastrandom
oss-fuzz
pythonmaxmin
IndexWikipedia
FastDoubleParser
fasthashing
fastheap
lemire
varint-simd
bleve
zobristhashing
bmap_find
open-source-search-engine
sparsepp
tiny-dnn
libvbyte
RealisticTabularDataSets
AVX512_PopCnt
SEAL
base64simd
simdcsv
wyhash
cpp_docker_persistance_example
cxxopts
Concise
kodakimagecollection
sparsebitmap
libdivide
emailwhendone
mysql_example
gobitmapbenchmark
createfasthash
OSACA
WebAssemblyVSJavaScript
roaring-rs
maptracker
arraylayout
exactshortlib
fastbit-compax
hierarchicalbinbuffering
TurboRLE
brotli
string-sorting
pcg-c
SIMDSetOperations
linbin
falkhash
libtwiddle
HashMap
biasedbitstream
FastFlagStats
LightGBM
rowreorderingcpplibrary
fast_float_supplemental_tests
DivisionBenchmark
costofsafety
backward_multiplication
simple_cpp_shuffle_benchmark
pospopcnt_avx512
MemoryLanes
iosbitmapdecoding
simdjson_cxxopts_tools
splitbuf-testset
go-simd
simdjson_benchmark_docker
jstypes
fast-float-rust
cracking-the-coding-interview
mongo
xorfilter_cpp
rcppsimdjson
RecSysInPHP2005
notesdecours
technolabsite
bloom
superset
bitset-1
exercices_lucene
random123
simdutf8
klib
BitMagic
mandel-simd
THEMDSP
BatchHashMap
MaskedVByteWebsite
SwiftDisas
BitPackingScripts
croaringfun
oldwebroot_private
simple_simdjson_python_wrapper
nserc-latex-template
utf8-validator-c
fastfloat_product_check
docker_dotnet
zuckerli
benchmarks
go
github-issue-templates
gutenberg-headers
simdbenchmarks
rowreorderingjavalibrary
conan-center-index
opentripplanner
nativejson-benchmark
SimpleVortex
libpy_simdjson
data_races_in_cmake
github-top
roaring_rust_benchmark
RunningDog
minperf
cminify
marp-cli-example
jackson-json-bench
citationdata
java_parses_slowly
SwiftBitsetBenchmark
Swimsuit
sort-bench
WebVR_Stage
simdjson_nodejs
OLAPTagCloud
simplebitmapbenchmark
pysimdjson
CSharpFastPFOR
svgfun
fastfilter_cpp
alexa-avs-raspberry-pi
dotlabcloud
SwiftRoaring
cuckoofilter
bitmap
HashVSTree
java_vs_c_bitmap_benchmark
Genius-nlp-analysis
pybenchmarks
technolab
druid
vpu-count
awesome-swift
funbenchmark
roaring-wasm
MTI6405
MTI6006R
pcg
geohash-int
encoding
sse-popcount
leperse2016.github.io
tagclouddrawing
z3
hash-function-benchmark
toys
pcg-c-basic
PackedArray
croaring-rs
RoaringVSConciseBenchmark
lineSampler
HighPerformanceJavaScript
SwiftCBitset
marp
qt
ios
jazzy
rbuf
RandomCode
go-bloomindex
python-scraping
CRoaring4VS
simple
parquet-cpp
go-pcgr
smhasher
uiHRDC
fastbit
awesome-go
AlexaPi
fastutil
scoredb
ModellingIntCompression
bytebuffer-collections
simd-search
PeachPy
trec_eval
bp128
ewah_benchmark
QGEN-CNSSB
DBGEN-CNSSB
incubator-kylin
minted
movingminmax
RoaringBitmapSynth
RoaringBitmapReal
ConciseBitCount.count_vs._JavaInteger.bitCount
spark
MemoryMappedBitmaps
go-roaring
extendedset
CompressWikipediaAsIntegerVectors
treap
