display-switch
xminid
way-cooler
mpv-mpris
harmony-api
pgsql.vim
RocketMap
vim-eunuch
vim-rhubarb
vim-bundler
test-align-centaur
solarized
tvdbr
pry
vim-rake
guard
rvm.vim
fabrication
rubygems
vim-markdown
bundler
decent_exposure
vim-slurper
vim-endwise
vim-repeat
SyntaxHighlighter
capybara
markup
vim-fugitive
vimium
vim-javascript
rvm
vim-space
syntastic
hitch
tomatoist
vim-pastie
vim-unimpaired
tabular
vim-rails
turn
vim-git
vim-surround
vurl
dotfiles
vim-abolish
vim-haml
rails
nerdcommenter
