Awesome-LLM-Eval
AlignLLMHumanSurvey
toolformer
statistic
llama
Chinese-Transformer-XL
CodeGeeX
GLM-130B
weibo-trending-hot-search
RapidOCR
textract
PyMuPDF-Utilities
Financial-Knowledge-Graphs
PaddleOCR
DocBank
diff-match-patch
pyLDAvis
Top2Vec
BERTopic
NLPer-Arsenal
timeparser
OpenPrompt
FianaceEventGraph
CausalDataset
tpu-mlir
oie-benchmark
nlpcda
Chinese-Text-Classification-Pytorch
Chinese-BERT-wwm
graph-data-science
bertviz
dedupe-examples
UIE
PaddleNLP
label-studio
BERT-BiLSTM-CRF-NER
pke
pycorrector
neo4j-nlp
kdd2021-tutorial
lda2vec
awesome-2vec
topicModelling
FATE
KeyBERT
topmine
dtm
AutoPhrase
RESIN-pipeline-public
ConceptGraph
relational-gcn
BLINK
datasets_knowledge_embedding
python-igraph
KRLPapers
OpenKE
KnowledgeGraphEmbeddingsViaPairedRelationVectors_PairRE
KnowledgeGraphEmbedding
NodePiece
Geocoding
geopy
Financial-Causality-Extraction
seminar
DL_EventExtractionPapers
pytorch_geometric
GraphNeuralNetwork
freebase-triples
Pinyin2Chinese
UER-py
elasticsearch-learning-to-rank
ChainKnowledgeGraph
awesome-pretrained-chinese-nlp-models
PRASEMap
Reco-papers
pretrained-models
Must-read-papers-and-continuous-tracking-on-Graph-Neural-Network-GNN-progress
Research
spark-nlp
CommunityDetection
AlgoNotes
cn2an
EAkit
SinglepassTextCluster
dgl
dgl-ke
gensim
DomainWordsDict
cmrc2018
mrc-for-flat-nested-ner
MRC_book
BERT-Relation-Extraction
CasRelPyTorch
PURE
t5-pegasus-pytorch
milvus
faiss
Familia
CommonSchemaKG
Snowball
lac
PersonGraphDataSet
OpenHowNet
Seq2seqAttGeneration
Seq2seqGeneration
keras-io
keras-bert
MarkTool
bert4keras
EventStoryLine
conference_call_for_paper
event-registry-python
tabari_dictionaries
CognitiveInference
DDParser
DescriptionKBExtraction
albert_zh
expert_readed_books
ChineseSemanticKB
PubLayNet
ollie
reverb
pdf2image
EventKGNELL
jieba
THULAC-Python
AbstractKnowledgeGraph
PyCodeComplete
Time_NLP
CausalCollocation
GraphEmbedding
node2vec
deepdive
ZhidaoChatbot
EventPredictBasedOnEG
Bulk-Bing-Image-downloader
rasa
LeetCodeAnimation
labelme
CEC-Corpus
BERT-pytorch
ERNIE
GNNPapers
Python-Offer
ADR-graph
OpenIE-standalone
wikiextractor
spaCy
propbank-documentation
conceptnet5
ChineseAnnotator
wtfpython
KB2E
DKRL
clip-as-service
transformers
bert
RelationExtraction_keras
attention-is-all-you-need-keras
ELMoForManyLangs
NLP-progress
