nightmare
hmap
dream
ruff
curious-ocaml
ocaml-tailwind
thereactagen
serde.ml
whnvr
wasm_nvim
ocamlearlybird
tree-setter
hallowdale
lazy.nvim
rust-prehistory
ocaml-playlist-transfer
modern-todomvc-vanillajs
jsonformer
nix-overlays
FPauth
styled-ppx
luv
nvim-plugin-template
OhtML
ocaml-caqti
htmx
llmsp
bash-stack
ocaml-h2
scip-ocaml
ocaml-lsp
silicon.nvim
gist.nvim
vcaml
hardcaml
io
iolang
good-repo
nvim-noirbuddy
oil.nvim
mason.nvim
dotfiles
tree-grepper
melange
kickstart.nvim
cellular-automaton.nvim
luajit-remake
ssr.nvim
wewerewondering
fennel-language-server
tree-sitter-monkey
vimdoc
marksman
live-command.nvim
nvim-oxi
neo-minimap
noice.nvim
rust-rst
spread.nvim
prisma-client-rust
import.nvim
dacquiri
easypick.nvim
xbase
spellsitter.nvim
yew-hooks
jakt
crabtyper
abel
NightVim
subd
nvimesweeper
lemmy-help
vegana-engine
incline.nvim
packspec
vim-university
cosmic-applets
perfanno.nvim
jvim.nvim
leftpad.nvim
neogit
yode-nvim
LuaSnip
telescope-toggleterm.nvim
stylish.nvim
fidget.nvim
barrier
msgpack-rust
nixdots
kanagawa.nvim
atuin
lua-in-rust
tree-sitter-markdown
utf8.nvim
sysz
telekasten.nvim
godbolt.nvim
telescope-ui-select.nvim
telescope-live-grep-args.nvim
telescope-file-browser.nvim
SchemaStore.nvim
ravi
Comment.nvim
.vim
firvish.nvim
cmp-nvim-lsp-document-symbol
cmp-git
cmp-under-comparator
tree-sitter-graph
monarized
vimwiki-rs
vimwiki.nvim
filetype.nvim
nvim-neoclip.lua
sceneify
mlua
gui-widgets.nvim
sidebar.nvim
Nvy
nvim-magic
nvim-fzf
fzf-lua
xplr
xplr.nvim
extmark-toy.nvim
distant
distant.nvim
impatient.nvim
nvui
cmp_luasnip
cmp-nvim-lsp
guise.vim
telescope-makefile
code_runner.nvim
ddc-source-nvim-lsp
complementree.nvim
nvim-notify
lazy-require.nvim
rust-tools.nvim
sg.nvim
IntelliJ-Luanalysis
nvim-lua-plugin-template
committia.vim
vim-dadbod-completion
vim-dadbod-ui
nvim-lua-rpc-example
refactoring.nvim
telescope-hop.nvim
zen-mode.nvim
nvim-lsp-compl
termbench
refterm
telescope-smart-history.nvim
awesome-awesome-wm
calvera-dark.nvim
literally_empty
lsp-fastaction.nvim
awesome-config
tree-sitter-sql
nvim-cmp
telescope-npm.nvim
ddc.vim
agrp.nvim
examiner
orgmode
aerial.nvim
pyupgrade
nvim-treehopper
nvim-remote-containers
dotfiles
vim-twitch-line-sign
denops.vim
cheovim
github-coauthors.nvim
dap-buddy.nvim
neoclip
dotfiles
vimterface.nvim
venn.nvim
