gradle-maven-publish-plugin
AlginProject
scrcpy
Jetpack-Compose-Android-Examples
netflix-proxy
Jetpack-Compose-WhatsApp-Clone
bintray-publish
leakcanary
gradle-bintray-plugin
byte-buddy
gradle-task-tree
GoogleLibraryVersionQuerier
lancet
PermissionX
AndroidDynamicLoader
DownloadProvider
lifecycle
coolweatherjetpack
Java-concurrency
MultiType
giffun
architecture-components-samples
android-ConfirmCredential
android-FingerprintDialog
DogCamera
android-ktx
ScreenRecorder
ANR-WatchDog
FileExplorer
gifsicle
CompressHelper
bintray-release
StatusBarUI
mappwidget
glide
adp-activity-transitions
glide-transformations
FileBrowserView
gvr-android-sdk
android-crop
MultipleImageSelect
Android-Image-Cropper
TakePhoto
android-gif-drawable
onboarding-examples-android
whenever
lottie-android
http
awesome-rails
LitePal
rsa.rb
rack-attack
active_model_serializers
Material-Animations
