Franck-Dernoncourt
geohot
lucidrains
ozan
jph00
fchollet
gaearon
hamelsmu
AllenDowney
rom1504
msaroufim
strickvl
rasbt
rwightman
eugeneyan
muellerzr
GokuMohandas
amitness
zzw922cn
ines
manmay-nakhashi
nogibjj
sayakpaul
BlinkDL
alvarobartt
ashikshafi08
fkodom
shivan-s
Timothy102
mlfoundations
modal-labs
LAION-AI
OpenGVLab
