multimodal-maestro
logos-shift-client
GPTQ-triton
prompt-lookup-decoding
llm_recipes
instruction-eval
awesome-engineering-games
gptslop
tldraw
simplified_transformers
nougat
LoftQ
GPT-V-on-Web
PiPPy
SwissArmyTransformer
marimo
transformer_central
code-eval
LLaMA-Factory
multimodal
Reflection_Tuning
data-juicer
fmengine
pytorchviz
torch-dist-utils
helium
insanely-fast-whisper
nbdev
Lambda-Cloud
transformer_nuggets
gpt-prompt-engineer
autogen
python-sixel
stability-hpc
library-of-phi
transformers-gptq-quant
AIScripts
srf-attention
train-with-fsdp
optimus
OmniQuant
dumpster-dive
alignment-handbook
ml-engineering
wandbtocsv
metal-flash-attention
SlimTrainer
gptqlora
low_bit_llama
llm-foundry
prompts-for-edu
minai
AutoGPTQ
llm-awq
neurips_llm_efficiency_challenge
InternLM
open_lm
magentic
textbook_quality
hf_fsdp
Xwin-LM
qlora-multi-gpu
folding_tools
zero-shot-replication
multipack_sampler
sciphi
AutoAWQ
awesome-early-exiting
exllamav2
airoboros
goodwiki
TinyLlama
CTranslate2
promptfoo
autofaiss
promptsource
opinionated
ambrosia
PaLM
BLoRA
pyoaiharvester
qlora
squeakily
hydra-moe
GPTeacher
treasure_trove
text-generation-inference
awesome-adaptive-computation
EdgeGPT
EdgeGPT
debugpy-run
commented-transformers
autocrit
llama-recipes
prm800k
chain-of-thought-hub
datagen
codeinterpreter-api
GPT-4-LLM
bigcode-evaluation-harness
tinypar
Lemur
open-instruct
FlexFlow
llm-attacks
BlingFire
Platypus
UltraChat
olm-training
text-dedup
ungoliant
finetune-study
rerope
ragas
curated-transformers
outlines
LDLM
FlexGen
ReadabiliPy
deep-learning-pytorch-huggingface
chatlab
deduplicate-text-datasets
yhtml
stweet
RedGalaxy
twitter-api-client
GPU-Puzzles
Tensor-Puzzles
flaxformer
torch-grammar
alpaca_farm
lm-evaluation-harness
decontamination
unilm
LongNet
openchat
txtai
LLM-Training-Puzzles
instructor
LMFlow
exllama
text-generation-inference
pygaggle
vllm
Sophia
t5x
simpleaichat
git-theta
chatgpt-refusals
CodeTF
solara
Mr.-Ranedeer-AI-Tutor
WizardLM
aider
developer
guidance
LLMsPracticalGuide
godot-dodo
dspy
web-llm
teaching
gpt4all
alpaca_lora_30b_4bit
maturin
ColossalAI
ChatPaper
GPTQ-for-LLaMa
alpaca-lora
flan-alpaca
MiniChain
alpaca_lora_4bit
AlpacaDataCleaned
lex-gpt
examples
trafilatura
cleanlab
llama_index
text-generation-webui
FasterTransformer
perceiver-pytorch
pytorch-center-loss
vue3-tiny-template
ylg
automl
ControlNet
lora
python-wheel-to-conda-package
GPTZero
carbonyl
reflex
flet
Robyn
granian
tiny-cuda-nn
diffusion-models-class
python-websocket-server
redframes
flash-attention
nanoGPT
ipyhtmx
Libation
jupyter-http-server
reloadium
jurigged
mathgenerator
setfit
BioMedLM
jpterm
EVA
voxpopuli
Paella
liked_images
GFPGAN
improved-diffusion
novelai-aspect-ratio-bucketing
ppInk
mmdetection
selenized
v-diffusion-pytorch
extract_patches
edm
UnstableFusion
torchdynamo
RePaint
xformers
simulacra-aesthetic-captions
MCG_diffusion
meliad
clip-interrogator
lovely-tensors
Bringing-Old-Photos-Back-to-Life
yt-dlp
bocker
SISR-Survey
ai-notes
UPIT
clip2latent
big_vision
open_clip
clip-jax
denoising-diffusion-pytorch
diffusion_models
SwinIR
LAVIS
BLIP
DeOldify
img2dataset
diffusers
Dreambooth-Stable-Diffusion
yorick
stable-diffusion
lambda-diffusers
minimal-accelerate
subclass_zoo
whisper
nbterm
k-diffusion
diffusion_reading_group
anki-sync-server
nn-zero-to-hero
QiskitBlocks
keycastr
upscayl
placeholder
estela
curl-impersonate
Kbd
nbdev-template
interactive_class
dotfiles
Parrot_Paraphraser
PaddleOCR
rtdl
pynapl
YOLOX
einops
silero-models
pytorch
matplotx
LEVIR-Ship
LaTeX-OCR
webscraping-from-0-to-hero
import-tracker
RWKV-LM
fastdom
modern-todomvc-vanillajs
browser-ml-inference
monica
sh
pipetools
pyp
self_supervised
browser-fingerprinting
NationalCabinetModelling
seirsplus
covid19-forecasting-aus
selectolax
DataProfiler
x-transformers
dtparse
htmx
notation
julia
typing_inspect
SemTorch
setuptools-conda
b-decoded
awesome-safegraph-datascience
fastscript
latex-ppt
fastai
courses
web-dev
wiki
TxtToSql
