torvalds
yyx990803
gaearon
ruanyf
gustavoguanabara
peng-zhihui
openai
bradtraversy
JakeWharton
sindresorhus
karpathy
microsoft
tj
rafaballerini
getify
addyosmani
geohot
llSourcell
michaelliao
google
wesbos
github
kentcdodds
paulirish
filipedeschamps
ry
kamranahmedse
taylorotwell
TheAlgorithms
diego3g
iamshaunjp
kennethreitz
benawad
StephenGrider
WebDevSimplified
buckyroberts
3b1b
antfu
kunal-kushwaha
dmalan
hadley
huggingface
daimajia
EpicGames
mojombo
sdras
mdo
krishnaik06
mbostock
mrdoob
lucidrains
defunkt
ThePrimeagen
tiangolo
douglascrockford
kelseyhightower
gvanrossum
gamemann
MrXyfir
jwasham
JacksonTian
jonasschmedtmann
AYIDouble
MorvanZhou
keijiro
mitsuhiko
programthink
adrianhajdin
antirez
tpope
cloudwu
phodal
developedbyed
donnemartin
codediodeio
facebook
techwithtim
freeCodeCamp
shiffman
dhh
mli
rasbt
geerlingguy
metatimeofficial
midudev
chrisbanes
jeresig
facebookresearch
john-smilga
SebLague
python
vczh
mattt
loiane
Trinea
Rich-Harris
ProgrammingHero1
brunosimon
jakevdp
clowwindy
justjavac
halfrost
apple
ReVanced
jadijadi
angelabauer
jlord
stormzhang
mouredev
lifesinger
codingforentrepreneurs
xiaolai
JeffreyWay
trekhleb
fchollet
esin
johnpapa
LeaVerou
onevcat
CodeWithHarry
Ovilia
astaxie
liyupi
maykbrito
RubyLouvre
jackfrued
BEPb
Asabeneh
spf13
PremChapagain
CyC2018
josevalim
cumsoft
taniarascia
isaacs
unknwon
feross
sorrycc
goodfeli
kubowania
wesm
yinwang0
rauchg
bailicangdu
sandhikagalih
ahejlsberg
in28minutes
peter-kimanzi
chiphuyen
breakwa11
jashkenas
ageron
unclebob
acdlite
fabpot
schacon
vuejs
Code-Bullet
hongyangAndroid
kenjinote
gopinav
fengdu78
jessfraz
flutter
florinpop17
draveness
PanJiaChen
angusshire
Visualize-ML
BYVoid
DIYgod
cassidoo
haoel
laruence
developit
hakimel
brianyu28
ibireme
KaimingHe
miguelgrinberg
mitchellh
vercel
iconfont-cn
CoreyMSchafer
abuanwar072
KalleHallden
egoist
mathiasbynens
rakyll
twitter
tensorflow
soumith
alibaba
btholt
anuraghazra
bradfitz
agentzh
davidfowl
vbuterin
dotnet
mattn
evanw
Klerith
octocat
dsacademybr
fouber
tqchen
community
muan
adamwathan
iampawan
YunaiV
mqyqingfeng
mosh-hamedani
lydiahallie
shanselman
AUTOMATIC1111
LukeSmithxyz
tomnomnom
jakearchibald
acenelio
chriscoyier
ForrestKnight
bvaughn
zenorocha
romannurik
android
necolas
sofish
QianMo
kevin-powell
amueller
samyk
atilsamancioglu
offensive-security
miloyip
ggerganov
chenshuo
cs50
hiteshchoudhary
benbalter
wycats
Kwynto
apache
TheCherno
leerob
tannerlinsley
jonhoo
